step,id,x,y,z,cnormf_x,cnormf_y,cnormf_z,cshearf_x,cshearf_y,cshearf_z,cslip1,cslip2,copen,cpress
1,8,1,0,0,2499.999999999999,1.734723475976808e-14,0,1.561251128379133e-15,-224.9999999999998,-299.9999999999997,3.999999999999999e-06,-2.999999999999999e-06,-9.999999999999998e-05,9999.999999999998
1,11,1,1,0,2499.999999999999,-1.734723475976806e-14,0,-1.561251128379118e-15,-224.9999999999997,-299.9999999999997,3.999999999999999e-06,-2.999999999999999e-06,-9.999999999999998e-05,9999.999999999998
1,12,1,0,1,2500,5.204170427930423e-14,0,4.683753385137397e-15,-225.0000000000001,-299.9999999999998,3.999999999999999e-06,-3.000000000000005e-06,-9.999999999999998e-05,9999.999999999998
1,15,1,1,1,2499.999999999999,-5.204170427930419e-14,0,-4.683753385137355e-15,-224.9999999999997,-299.9999999999997,3.999999999999999e-06,-2.999999999999994e-06,-9.999999999999998e-05,9999.999999999996
2,8,1,0,0,2499.999999999999,1.734723475976808e-14,0,3.122502256758256e-15,-449.9999999999999,-599.9999999999998,1.6e-05,-1.2e-05,-9.999999999999998e-05,9999.999999999998
2,11,1,1,0,2499.999999999999,-1.734723475976806e-14,0,-3.12250225675825e-15,-449.9999999999999,-599.9999999999998,1.6e-05,-1.2e-05,-9.999999999999998e-05,9999.999999999998
2,12,1,0,1,2500,5.204170427930422e-14,0,9.367506770274765e-15,-450,-599.9999999999999,1.6e-05,-1.2e-05,-9.999999999999998e-05,9999.999999999998
2,15,1,1,1,2500,-5.20417042793042e-14,0,-9.367506770274752e-15,-449.9999999999999,-599.9999999999999,1.6e-05,-1.199999999999999e-05,-9.999999999999998e-05,9999.999999999998
3,8,1,0,0,2499.999999999999,1.734723475976808e-14,0,4.65475153733864e-15,-670.8203932499368,-335.4101966249684,1.5e-05,-2e-05,-9.999999999999998e-05,9999.999999999998
3,11,1,1,0,2499.999999999999,-1.734723475976806e-14,0,-4.654751537338635e-15,-670.8203932499368,-335.4101966249684,1.5e-05,-2e-05,-9.999999999999998e-05,9999.999999999998
3,12,1,0,1,2500,5.204170427930422e-14,0,1.396425461201591e-14,-670.8203932499368,-335.4101966249684,1.5e-05,-2.000000000000001e-05,-9.999999999999998e-05,9999.999999999998
3,15,1,1,1,2500,-5.20417042793042e-14,0,-1.396425461201591e-14,-670.8203932499368,-335.4101966249685,1.5e-05,-1.999999999999999e-05,-9.999999999999998e-05,9999.999999999998
4,8,1,0,0,2499.999999999999,1.734723475976808e-14,0,3.029983117044521e-15,-436.6665867795389,-609.7723279965295,2.999999999999999e-05,-2.5e-05,-9.999999999999998e-05,9999.999999999998
4,11,1,1,0,2499.999999999999,-1.734723475976806e-14,0,-3.029983117044518e-15,-436.6665867795389,-609.7723279965296,2.999999999999999e-05,-2.5e-05,-9.999999999999998e-05,9999.999999999998
4,12,1,0,1,2500,5.204170427930422e-14,0,9.08994935113356e-15,-436.6665867795389,-609.7723279965296,3e-05,-2.5e-05,-9.999999999999998e-05,9999.999999999998
4,15,1,1,1,2500,-5.20417042793042e-14,0,-9.089949351133559e-15,-436.6665867795389,-609.7723279965296,2.999999999999999e-05,-2.499999999999999e-05,-9.999999999999998e-05,9999.999999999998
