time,node,temperature,ur,uz,rf_r,rf_z,reaction_heat
1.0,1,600.0,7.350102952753538e-51,-5.220243574398819e-54,-8.1946738736318797e-15,4.6805998406193758e-19,-1.0944354536485605e-14
1.0,2,600.6866666666666,0.00016699999999999999,2.7712069350973477e-37,-1.7985612998927536e-14,-0.38186945457038879,-5.241438271822514e-14
1.0,3,625.6866666666666,0.00016699999999999999,6.8907215182064419e-52,-3.4972025275692431e-14,-5.5511151231257827e-16,-1.3251744500693811e-14
1.0,4,625.0,1.3987642657601637e-50,2.1869832894957764e-53,-1.6337412594239493e-14,-4.4273769309474892e-17,-6.625872250345045e-15
1.0,5,601.3733333333333,0.00033399999999999999,5.542413870194687e-37,-9.1038288019262836e-15,-0.76373890914077669,-9.820289318610052e-14
1.0,6,626.3733333333333,0.00033399999999999999,1.5869540466172412e-51,-1.7319479184152442e-14,-1.3322676295501878e-15,-1.3251744500686497e-14
1.0,7,602.06,0.00050100000000000003,8.3136208052920314e-37,-9.7699626167013776e-15,-1.1456083637111703,-1.4399140365398397e-13
1.0,8,627.06,0.00050100000000000003,-6.6819117752304891e-52,-1.9095836023552692e-14,-5.1070259132757201e-15,-1.3251744500698229e-14
1.0,9,602.7466666666667,0.00066799999999999997,1.1084827740389341e-36,1.5987211554602254e-14,-1.5274778182815538,-1.897799141218545e-13
1.0,10,627.7466666666667,0.00066799999999999997,-2.6727647100921956e-51,2.7533531010703882e-14,-5.1070259132757201e-15,-1.3251744500682906e-14
1.0,11,603.4333333333333,0.00083500000000000002,1.3856034675486712e-36,-7.815970093361102e-14,-1.9093472728519485,-2.3556842458974394e-13
1.0,12,628.4333333333333,0.00083500000000000002,-9.3055473610589866e-86,-1.3056222769591841e-13,1.2212453270876722e-15,-1.3251744500701637e-14
1.0,13,604.12,0.0010020000000000001,8.3136208052920046e-37,5.5916066171119505,-1.1456083637111605,4.2051271374182395
1.0,14,629.12,0.0010020000000000001,-2.0045735325691467e-51,11.183213234223896,1.9984014443098319e-15,9.818237562359343
1.0,15,650.6866666666666,0.00016699999999999999,3.4009974529310731e-52,-3.4861002973229915e-14,-4.9960036108132044e-16,-1.3251744500694013e-14
1.0,16,650.0,1.4543921622589551e-50,5.1079140916954221e-54,-1.6878646318744257e-14,-2.9528619763672031e-17,-6.625872250345069e-15
1.0,17,651.3733333333333,0.00033399999999999999,1.3712552713784065e-51,-1.9095836023552692e-14,-1.1657341758564144e-15,-1.3251744500687109e-14
1.0,18,652.06,0.00050100000000000003,3.3409558876152446e-52,-2.4424906541753444e-14,-5.5511151231257827e-15,-1.3251744500697989e-14
1.0,19,652.7466666666667,0.00066799999999999997,-2.8306947199332526e-51,2.7977620220553945e-14,-4.8849813083506888e-15,-1.3251744500682603e-14
1.0,20,653.4333333333333,0.00083500000000000002,-1.6287159952124317e-51,-1.2789769243681803e-13,1.8873791418627661e-15,-1.325174450070151e-14
1.0,21,654.12,0.0010020000000000001,-2.6748764235167291e-51,11.183213234223906,2.2204460492615492e-15,11.226220849881946
1.0,22,675.6866666666666,0.00016699999999999999,1.8596754044296032e-52,-3.2529534621517087e-14,-4.163336342344337e-16,-1.3251744500693824e-14
1.0,23,675.0,1.37083596263713e-50,-3.2318564523419409e-53,-1.6309657018623864e-14,-8.7119380519503461e-18,-6.625872250345091e-15
1.0,24,676.3733333333333,0.00033399999999999999,1.4616682008316695e-51,-1.4876988529977098e-14,-8.3266726846886741e-16,-1.3251744500686794e-14
1.0,25,677.06,0.00050100000000000003,-1.6704779438076223e-52,-1.9095836023552692e-14,-4.7739590058881731e-15,-1.325174450069804e-14
1.0,26,677.7466666666667,0.00066799999999999997,1.8366023564660194e-51,3.1530333899354446e-14,-5.9952043329758453e-15,-1.3251744500681593e-14
1.0,27,678.4333333333333,0.00083500000000000002,3.1086244689504383e-51,-1.2168044349891716e-13,8.8817841970012523e-16,-1.3251744500701334e-14
1.0,28,679.12,0.0010020000000000001,-6.6819117752304891e-52,11.183213234223903,2.6645352591003757e-15,12.63420413740455
