step,id,normal_x,normal_y,normal_z,tangent_x,tangent_y,tangent_z,slip1,slip2,gap,pressure
1,8,3124.999999999999,0,0,0,-187.5,-249.9999999999999,4e-06,-2.999999999999999e-06,-4.999999999999999e-05,50000
1,11,3124.999999999999,0,0,0,-187.4999999999998,-249.9999999999999,4e-06,-2.999999999999999e-06,-4.999999999999999e-05,49999.99999999999
1,12,3125,0,0,0,-187.5000000000002,-250,4.000000000000001e-06,-3.00000000000001e-06,-4.999999999999999e-05,50000
1,15,3125,0,0,0,-187.4999999999997,-249.9999999999999,4e-06,-2.999999999999988e-06,-4.999999999999999e-05,50000
2,8,3124.999999999998,0,0,0,-562.4999999999995,-749.9999999999994,1.2e-05,-8.999999999999997e-06,-4.999999999999999e-05,49999.99999999999
2,11,3124.999999999999,0,0,0,-562.4999999999994,-749.9999999999994,1.2e-05,-8.999999999999997e-06,-4.999999999999999e-05,49999.99999999999
2,12,3124.999999999999,0,0,0,-562.4999999999999,-749.9999999999997,1.2e-05,-9.000000000000009e-06,-4.999999999999999e-05,49999.99999999999
2,15,3124.999999999999,0,0,0,-562.4999999999994,-749.9999999999997,1.2e-05,-8.999999999999988e-06,-4.999999999999999e-05,49999.99999999999
3,8,3124.999999999998,0,0,0,-749.9999999999998,-999.9999999999997,2.399999999999999e-05,-1.8e-05,-4.999999999999999e-05,49999.99999999999
3,11,3124.999999999999,0,0,0,-749.9999999999998,-999.9999999999997,2.399999999999999e-05,-1.8e-05,-4.999999999999999e-05,49999.99999999999
3,12,3124.999999999999,0,0,0,-750,-999.9999999999998,2.399999999999999e-05,-1.800000000000001e-05,-4.999999999999998e-05,49999.99999999999
3,15,3124.999999999999,0,0,0,-749.9999999999999,-999.9999999999998,2.399999999999999e-05,-1.799999999999999e-05,-5e-05,49999.99999999999
