step,node,gap
BASE,532,-9.9999999999064562e-06
BASE,535,-9.9999999999272678e-06
BASE,536,-9.9999999999435122e-06
BASE,539,-9.9999999999563769e-06
BASE,543,-9.999999999884662e-06
BASE,547,-9.9999999998951144e-06
BASE,548,-9.9999999998753531e-06
BASE,551,-9.9999999999228327e-06
PRIMARY_PLUS,532,-9.9996537523572828e-06
PRIMARY_PLUS,535,-9.9999999999272678e-06
PRIMARY_PLUS,536,-9.9999999999435122e-06
PRIMARY_PLUS,539,-9.9999999999563769e-06
PRIMARY_PLUS,543,-9.9995993342352662e-06
PRIMARY_PLUS,547,-9.9999999998951144e-06
PRIMARY_PLUS,548,-9.9999509596943185e-06
PRIMARY_PLUS,551,-9.9999999999228327e-06
PRIMARY_MINUS,532,-1.0000346247457239e-05
PRIMARY_MINUS,535,-9.9999999999272678e-06
PRIMARY_MINUS,536,-9.9999999999435122e-06
PRIMARY_MINUS,539,-9.9999999999563769e-06
PRIMARY_MINUS,543,-1.0000400665535916e-05
PRIMARY_MINUS,547,-9.9999999998951144e-06
PRIMARY_MINUS,548,-1.0000049040056617e-05
PRIMARY_MINUS,551,-9.9999999999228327e-06
