node,x_m,y_m,z_m,opening_m,pressure_pa,slip1_m,slip2_m,shear_stress1_pa,shear_stress2_pa,normal_force1_n,normal_force2_n,normal_force3_n,shear_force1_n,shear_force2_n,shear_force3_n,contact_heat_flux_w
29,0.9900000095367432,6.50045483186596e-34,-0,-0.009914448484778404,99144.484375,-0.0009937789291143417,-1.85191114597393e-17,-2885.37841796875,-1.193876594807186e-11,6350.96923828125,836.1209716796875,0,14.87936210632324,-186.0753936767578,-7.714224224686372e-13,9914.4482421875
32,0.9562665820121765,0.2562308609485626,1.886262887518738e-33,-0.009914448484778404,99144.484375,1.632198574953922e-17,-1.847488872983099e-17,-484.0019226074219,3.810282384747454e-12,12269.1298828125,3287.50341796875,0,17.56520843505859,-60.36559295654297,4.941622198245677e-13,9914.4482421875
33,0.9900000095367432,6.50045483186596e-34,1,-0.009914448484778404,99144.484375,-0.0009937789291143417,2.470241061566506e-17,-2885.37841796875,-3.125629840158944e-27,6350.96923828125,836.1209716796875,0,14.87936210632324,-186.0753936767578,5.320086555889927e-17,9914.4482421875
36,0.9562665820121765,0.2562308609485626,1,-0.009914448484778404,99144.484375,1.560161235204027e-17,2.467162295326584e-17,-484.0019226074219,9.17787287141314e-12,12269.1298828125,3287.50341796875,0,17.56520843505859,-60.36559295654297,1.193207967327414e-12,9914.4482421875
38,0.8573651313781738,0.4950000047683716,1.886262887518738e-33,-0.009914448484778404,99144.484375,1.18427580648115e-16,-7.594570610566268e-19,2.195152531969669e-10,1.137070385764938e-11,11000.201171875,6350.96923828125,0,-1.42122702495584e-11,2.45525128006463e-11,1.470422525060022e-12,9914.4482421875
40,0.8573651313781738,0.4950000047683716,1,-0.009914448484778404,99144.484375,1.148745288972894e-16,6.121780906589584e-18,2.080044608776532e-10,-2.404118570886737e-11,11000.201171875,6350.96923828125,0,-1.343818806232022e-11,2.328722457922705e-11,-3.109582036309178e-12,9914.4482421875
42,0.7000356912612915,0.7000356912612915,1.886262887518738e-33,-0.009914448484778404,99144.484375,5.269792423683055e-19,2.156749039267892e-17,2.713586647051791e-11,9.423443796119368e-12,8981.626953125,8981.626953125,0,-2.561370386622297e-12,2.45145028408833e-12,1.217317045776323e-12,9914.4482421875
44,0.7000356912612915,0.7000356912612915,1,-0.009914448484778404,99144.484375,3.553850393706994e-18,3.389636702121535e-32,4.216133345225082e-11,-3.660333841581931e-11,8981.626953125,8981.626953125,0,-3.879614945273557e-12,3.875402602993017e-12,-4.73668890568768e-12,9914.4482421875
46,0.4950000047683716,0.8573651313781738,1.886262887518738e-33,-0.009914448484778404,99144.484375,6.496792998021727e-17,1.773561094661274e-17,1.508569519304004e-10,7.827586669117981e-12,6350.96923828125,11000.201171875,0,-1.685340582369133e-11,9.831442951413472e-12,1.012422025555015e-12,9914.4482421875
48,0.4950000047683716,0.8573651313781738,1,-0.009914448484778404,99144.484375,7.840621356752515e-17,-1.235887409929151e-17,1.480169875556214e-10,-3.398736153625848e-12,6350.96923828125,11000.201171875,0,-1.654763132075132e-11,9.625015194580921e-12,-4.338951886586478e-13,9914.4482421875
50,0.2562308609485626,0.9562665820121765,1.886262887518738e-33,-0.009914448484778404,99144.484375,7.798838809651236e-17,6.94754207721147e-18,484.0019226074219,1.126487249834829e-12,3287.50341796875,12269.1298828125,0,-60.36559295654297,17.56520843505859,1.446212805544453e-13,9914.4482421875
52,0.2562308609485626,0.9562665820121765,1,-0.009914448484778404,99144.484375,7.76457897391276e-17,1.238193589476949e-17,484.0019226074219,3.754957499449429e-13,3287.50341796875,12269.1298828125,0,-60.36559295654297,17.56520843505859,4.822102664544213e-14,9914.4482421875
54,6.062001721773234e-17,0.9900000095367432,0,-0.009914448484778404,99144.484375,0.0009937789291143417,-1.852680754815849e-17,2885.37841796875,-1.822799525501459e-28,836.1209716796875,6350.96923828125,0,-186.0753936767578,14.87936210632324,-2.660043277944964e-17,9914.4482421875
56,6.062001721773234e-17,0.9900000095367432,1,-0.009914448484778404,99144.484375,0.0009937789291143417,1.235120530783253e-17,2885.37841796875,-5.415750633320878e-28,836.1209716796875,6350.96923828125,0,-186.0753936767578,14.87936210632324,2.660043277944964e-17,9914.4482421875
