time_s,artificial_energy_j,internal_energy_j,artificial_to_internal_ratio
0,0,0,0
0.05000000074505806,3.537715187462709e-08,2.031577423622366e-05,0.00174136370404966
0.1000000014901161,1.812732222106206e-07,9.100328315980732e-05,0.001991941564265256
0.1500000059604645,4.431645663771633e-07,0.0002076576492981985,0.002134111446772541
0.2000000029802322,8.184794637600135e-07,0.0003691652091220021,0.002217108881160904
0.25,1.28947897337639e-06,0.0006150222034193575,0.002096638082669593
0.300000011920929,1.906030547615956e-06,0.0009378907270729542,0.002032252257749099
0.3499999940395355,2.628715492392075e-06,0.001328818150795996,0.001978235690728191
0.4000000059604645,3.443484274612274e-06,0.001785429078154266,0.001928659231971323
0.449999988079071,4.336708570917835e-06,0.002306872745975852,0.001879908017675818
0.5,5.3013427532278e-06,0.002892691642045975,0.001832667774252705
0.550000011920929,6.116649274190422e-06,0.003387380857020617,0.00180571643177152
0.6000000238418579,6.996298452577321e-06,0.003920158371329308,0.001784697910101246
0.6499999761581421,7.933400411275215e-06,0.004490915220230818,0.001766544239253634
0.699999988079071,8.923845598474145e-06,0.005099538248032331,0.001749932084913263
0.75,9.973407031793613e-06,0.005745908711105585,0.00173574059965784
0.800000011920929,1.109298955270788e-05,0.006429906003177166,0.00172521799653472
0.8500000238418579,1.216011423821328e-05,0.007109224796295166,0.001710469789132324
0.8999999761581421,1.324199820373906e-05,0.007823172956705093,0.001692663357568951
0.949999988079071,1.435085141565651e-05,0.008571709506213665,0.001674211125009955
1,1.550441265862901e-05,0.009354768320918083,0.001657380720371212
