time,node,gap,pressure,nx,ny,nz,tx,ty,tz,slipx,slipy,slipz,heat_rate_w
0.10000000149011612,57,-6.401201522938438e-42,2.876055384358111e-21,-2.1462093749415643e-22,6.549358717351434e-39,1.8987606253017831e-39,0.0,0.0,0.0,-3.3298093276932316e-72,4.8539877689039225e-57,-1.4041746754345844e-57,0.20621715069796095
0.10000000149011612,60,3.3306690738754696e-16,0.0,-4.3746003346012504e-22,-9.3817968632643255e-39,2.7484708518807378e-38,0.0,0.0,0.0,0.0,-0,0.0,0.5
0.10000000149011612,61,4.930380656875977e-32,2.876055384454133e-21,-2.1462093749131982e-22,6.5493586971678699e-39,1.8987606198038419e-39,0.0,0.0,0.0,-2.2567144230061678e-72,-1.8098338100595699e-57,-5.0021388687355175e-57,0.2682924682452608
0.10000000149011612,64,2.220446049250313e-16,5.135813188459047e-22,-3.9963533760141089e-22,-2.6742651774313611e-39,1.8982829200086032e-38,0.0,0.0,0.0,0.0,-0,0.0,0.5000000000000284
0.10000000149011612,68,2.220446049250313e-16,1.2325951649079442e-21,7.7251190014449479e-22,-2.3573923384854089e-38,-6.8344458614709649e-39,0.0,0.0,0.0,-0,-0,0.0,0.0
0.10000000149011612,69,-9.86076131675005e-32,2.876055384406122e-21,1.5056227218712371e-21,-4.5945486009935755e-38,-1.3320308704012949e-38,0.0,0.0,0.0,-1.1329245497199384e-73,-2.5455032770994231e-57,-4.0255305192320619e-57,0.0
0.10000000149011612,72,-1.2716737864730127e-41,1.0271626404881229e-22,7.5747969938763828e-22,3.0406484656824622e-38,-6.2302626000077778e-38,0.0,0.0,0.0,2.0308504474308962e-73,2.0187150151293991e-57,-3.2136974906357273e-57,0.0
0.10000000149011612,76,4.440892098500626e-16,1.232595164946353e-21,7.7251190014631305e-22,-2.357392339779216e-38,-6.8344458649952557e-39,0.0,0.0,0.0,-0,-0,0.0,0.0
0.10000000149011612,78,-6.610584320256143e-43,0.0,-1.0936500837956239e-22,-1.939392351625712e-38,2.4582037781167963e-38,0.0,0.0,0.0,3.158626629728332e-74,1.74241130829818e-58,-3.1041210944488516e-58,0.2
0.10000000149011612,80,-6.478342331060029e-43,1.4380276919505745e-21,-7.1540312520538495e-23,-1.268639183387157e-38,1.608015846110935e-38,0.0,0.0,0.0,-8.7137548373512409e-73,-6.3534861558548148e-58,-5.3128059361881123e-58,0.2
0.10000000149011612,83,-3.640931241457396e-42,0.0,1.6665857756247305e-22,2.9553910833556377e-38,-3.7459947287327467e-38,0.0,0.0,0.0,-4.3201904060312319e-73,6.2446191709566289e-58,-1.8335721516378297e-57,0.0
0.10000000149011612,85,-2.3478149137694374e-42,6.162975823474485e-22,2.5750396674443338e-22,4.5663711916015388e-38,-5.7879319290725619e-38,0.0,0.0,0.0,5.6114482804062016e-74,-7.7281562171425142e-59,-4.2553136762430761e-58,0.0
0.10000000149011612,88,-4.930380657986157e-32,1.4380276921019055e-21,5.018742406462064e-22,8.8998398880278987e-38,-1.1280657067221786e-37,0.0,0.0,0.0,-5.8015545344058408e-73,1.4806631538370997e-57,-1.4129356709709732e-57,0.0
0.20000000298023224,57,1.7585928267401756e-57,2.8760553836182716e-21,-2.1462093742914472e-22,6.5493587039569598e-39,1.8987606253136895e-39,0.0,0.0,0.0,-2.2858824738742962e-85,3.044972090255482e-70,5.9795780917377635e-70,0.17524519052838056
0.20000000298023224,60,3.3306690738754696e-16,0.0,-4.3746003334199275e-22,-9.3817968628710323e-39,2.748470851789869e-38,0.0,0.0,0.0,0.0,-0,0.0,0.4387360364177085
0.20000000298023224,61,4.930380657631324e-32,2.8760553836182716e-21,-2.1462093742914472e-22,6.5493587039569611e-39,1.8987606253136899e-39,0.0,0.0,0.0,-2.2567144230061678e-72,-1.8098338100595699e-57,-5.0021388687355175e-57,0.25774519052837375
0.20000000298023224,64,2.220446049250313e-16,5.135813185032628e-22,-3.9963533748287611e-22,-2.6742651794133858e-39,1.8982829198614294e-38,0.0,0.0,0.0,0.0,-0,0.0,0.47902137432922137
0.20000000298023224,68,2.220446049250313e-16,1.2325951644078306e-21,7.7251189991532427e-22,-2.3573923384297465e-38,-6.8344458640236078e-39,0.0,0.0,0.0,-0,-0,0.0,0.0
0.20000000298023224,69,-9.860761315262648e-32,2.8760553836182716e-21,1.5056227215547108e-21,-4.5945486001547225e-38,-1.3320308701053627e-38,0.0,0.0,0.0,9.0796782089471046e-87,2.5044612452380126e-70,1.6243624347645419e-70,0.0
0.20000000298023224,72,9.962145854407129e-58,1.0271626370065252e-22,7.574796989400216e-22,3.0406484665253854e-38,-6.2302626004736208e-38,0.0,0.0,0.0,2.0308504474308962e-73,2.0187150151293991e-57,-3.2136974906357273e-57,0.0
0.20000000298023224,76,4.440892098500626e-16,1.2325951644078306e-21,7.7251189991532417e-22,-2.3573923384297459e-38,-6.8344458640236065e-39,0.0,0.0,0.0,-0,-0,0.0,0.0
0.20000000298023224,78,3.284945333107206e-58,0.0,-1.0936500833549821e-22,-1.9393923515056004e-38,2.4582037779871041e-38,0.0,0.0,0.0,3.158626629728332e-74,1.74241130829818e-58,-3.1041210944488516e-58,0.19999999999999998
0.20000000298023224,80,5.165139868478669e-58,1.4380276918091358e-21,-7.1540312476381555e-23,-1.2686391831598358e-38,1.6080158460586652e-38,0.0,0.0,0.0,-8.7137548373512409e-73,-6.3534861558548148e-58,-5.3128059361881123e-58,0.19999999999999998
0.20000000298023224,83,6.340739442109386e-58,0.0,1.6665857743386e-22,2.9553910826441258e-38,-3.7459947282689948e-38,0.0,0.0,0.0,1.0428310420816364e-85,-3.4064917784805165e-70,1.9328215033870767e-70,0.0
