id,x,y,z,temperature,displacement_x,displacement_y,displacement_z
1,0,0,0,600,7.5513996302955542e-47,5.9186407846040949e-47,-2.6424124047399492e-47
2,0.001,0,0,600,-4.6676979166437079e-07,-3.4502054080040659e-07,-1.1208962673302823e-06
3,0.001,0.001,0,600,-6.558061707412569e-08,-1.9623308018402083e-07,-5.483468933516476e-07
4,0,0.001,0,600,-6.1659051818780768e-37,-7.4541133727330673e-37,-4.1457175256758846e-37
5,0,0,0.00025000000000000001,624.46380699039707,-4.6278857287797495e-36,-2.3871182450742963e-36,-3.5547603726435598e-36
6,0.001,0,0.00025000000000000001,626.26218051399269,-1.1300925811741862e-07,-5.4411676873584882e-07,-1.0381254238059621e-06
7,0.001,0.001,0.00025000000000000001,622.05895382061465,2.0128674925328716e-07,-3.0398527203159831e-07,-5.3428155117430424e-07
8,0,0.001,0.00025000000000000001,626.26163778141347,-4.0727000928501776e-36,-2.9038668817399998e-36,-4.1002705549224493e-36
9,0.002,0,0,600,-1.9205302680839882e-07,-3.4906095327158475e-07,-2.5615334916133713e-06
10,0.002,0.001,0,600,-1.1689578640256311e-07,-3.5609854345024357e-07,-1.6169184984415311e-06
11,0.002,0,0.00025000000000000001,628.0550931431477,1.3821276234016185e-07,-6.0510264292256816e-07,-2.5425163286282589e-06
12,0.002,0.001,0.00025000000000000001,617.87102760476512,2.3243889222661335e-07,-5.6792400548923971e-07,-1.7060103190125324e-06
13,0.0030000000000000001,0,0,600,-2.4069525243062452e-07,-3.5294979946918918e-07,-4.8393163379404012e-06
14,0.0030000000000000001,0.001,0,600,-6.7586778585800664e-08,-2.5929762597537338e-07,-3.5522323477800045e-06
15,0.0030000000000000001,0,0.00025000000000000001,627.65680856934307,4.1437918050579225e-07,-7.278919956575787e-07,-4.7555606087887114e-06
16,0.0030000000000000001,0.001,0.00025000000000000001,618.79475507555787,6.0247239973970761e-07,-5.2344774935327249e-07,-3.5782833646182975e-06
17,0.0040000000000000001,0,0,600,1.5309687755392859e-08,-2.4176679474279463e-07,-7.5917941403121293e-06
18,0.0040000000000000001,0.001,0,600,-2.8524406670502551e-08,-2.4194557502901226e-07,-6.1272730858049475e-06
19,0.0040000000000000001,0,0.00025000000000000001,627.74688183968067,7.0525057140065886e-07,-6.5580988242108188e-07,-7.5693644320578791e-06
20,0.0040000000000000001,0.001,0.00025000000000000001,618.59251524774038,6.4807090921262647e-07,-5.5467483925104231e-07,-6.2075378861265661e-06
21,0.0050000000000000001,0,0,600,-7.2038144699432128e-08,-2.2940182847136411e-07,-1.1072400927896593e-05
22,0.0050000000000000001,0.001,0,600,1.8486428255805619e-08,-1.5745981384152566e-07,-9.493652641441587e-06
23,0.0050000000000000001,0,0.00025000000000000001,627.72621687528544,9.1710147794374625e-07,-6.6298147576197822e-07,-1.0984442591653519e-05
24,0.0050000000000000001,0.001,0.00025000000000000001,618.637014232811,1.0373786078199019e-06,-5.0438831022685061e-07,-9.5189570144285004e-06
25,0.0060000000000000001,0,0,600,1.2554796874054777e-07,-1.6453577559644507e-07,-1.5140983020982824e-05
26,0.0060000000000000001,0.001,0,600,5.7516676904206057e-08,-1.4639337563839919e-07,-1.3497603686590127e-05
27,0.0060000000000000001,0,0.00025000000000000001,627.73189620192841,1.1611537516767495e-06,-6.3259426492266625e-07,-1.5118676969126103e-05
28,0.0060000000000000001,0.001,0.00025000000000000001,618.62536106974437,1.0721965337577746e-06,-4.9564462391962203e-07,-1.3570925044664551e-05
29,0.007000000000000001,0,0,600,2.290147034773391e-08,-1.5702018716149867e-07,-1.9957766192205343e-05
30,0.007000000000000001,0.001,0,600,8.4572742586625402e-08,-1.0355168908576911e-07,-1.8272868918848153e-05
31,0.007000000000000001,0,0.00025000000000000001,627.72621687528556,1.3715474815217406e-06,-6.1323245067327217e-07,-1.9868498404277996e-05
32,0.007000000000000001,0.001,0.00025000000000000001,618.637014232811,1.4511382547506404e-06,-4.7936713998193219e-07,-1.8300273448392972e-05
33,0.0080000000000000002,0,0,600,2.0771708122973991e-07,-1.3366172757289837e-07,-2.5376542298014029e-05
34,0.0080000000000000002,0.001,0,600,1.3773825414807447e-07,-1.053822843534512e-07,-2.3689104601130339e-05
35,0.0080000000000000002,0,0.00025000000000000001,627.74688183968067,1.5758690186805188e-06,-6.127034351315414e-07,-2.5353851846841962e-05
36,0.0080000000000000002,0.001,0.00025000000000000001,618.59251524774038,1.4956538154451853e-06,-4.6504634373378943e-07,-2.3757083175385466e-05
37,0.0090000000000000011,0,0,600,1.05894040810247e-07,-1.2034090437178261e-07,-3.155975759770322e-05
38,0.0090000000000000011,0.001,0,600,1.3772396868920044e-07,-7.7295785796126115e-08,-2.9869551223384257e-05
39,0.0090000000000000011,0,0.00025000000000000001,627.65680856934296,1.8173468946505141e-06,-5.8033905708332474e-07,-3.1471046473707556e-05
40,0.0090000000000000011,0.001,0.00025000000000000001,618.79475507555787,1.8578823515123938e-06,-4.5461729883823854e-07,-2.9899906760494845e-05
41,0.01,0,0,600,2.7198985143847447e-07,-1.1147959429745337e-07,-3.8335257005227204e-05
42,0.01,0.001,0,600,2.1153632873240395e-07,-6.7096160395021364e-08,-3.6699855266180078e-05
43,0.01,0,0.00025000000000000001,628.0550931431477,1.9721657329188636e-06,-5.6861175067295307e-07,-3.8309451132373031e-05
44,0.01,0.001,0.00025000000000000001,617.87102760476512,1.9104720161786853e-06,-4.1883374937623758e-07,-3.6764317657430154e-05
45,0.010999999999999999,0,0,600,1.4696247323023016e-07,-7.0554756319230545e-08,-4.5858431460994821e-05
46,0.010999999999999999,0.001,0,600,1.7083400756248195e-07,-3.346338729579276e-08,-4.427659174024908e-05
47,0.010999999999999999,0,0.00025000000000000001,626.26218051399269,2.1864883515084005e-06,-4.9799373587075153e-07,-4.5788173065521782e-05
48,0.010999999999999999,0.001,0.00025000000000000001,622.05895382061476,2.2563474619575606e-06,-4.020666891868569e-07,-4.4277166249576114e-05
49,0.012,0,0,600,2.8315123872931573e-07,-1.5867644461295635e-08,-5.3904915962618359e-05
50,0.012,0.001,0,600,2.8327758247982606e-07,-3.9169087589049803e-08,-5.2282830869496927e-05
51,0.012,0,0.00025000000000000001,624.46380699039707,2.2691414004252828e-06,-5.1971130184029606e-07,-5.393118786515038e-05
52,0.012,0.001,0.00025000000000000001,626.26163778141336,2.2243912945601135e-06,-3.3455934388359846e-07,-5.227564095564532e-05
53,0.001,0.002,0,600,1.0805984332101347e-07,-1.2554897886531015e-07,-2.8849445156031336e-07
54,0,0.002,0,600,8.2193295720522329e-37,1.9741267528485529e-37,9.8481384616899875e-39
55,0.001,0.002,0.00025000000000000001,617.81437321200258,1.9360961074056015e-07,-1.8911657451060168e-07,-2.6537409905430984e-07
