step,id,x,y,z,ux,uy,uz,rfx,rfy,rfz
1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,2499.999999999999,-112.4999999999999,-149.9999999999999
1,2,1,1,0,0,0,0,2499.999999999999,-112.4999999999999,-149.9999999999998
1,3,0,1,0,0,0,0,0,0,0
1,4,0,0,1,0,0,0,0,0,0
1,5,1,0,1,0,0,0,2500,-112.5,-149.9999999999999
1,6,1,1,1,0,0,0,2499.999999999999,-112.4999999999998,-149.9999999999999
1,7,0,1,1,0,0,0,0,0,0
1,8,1,0,0,-0.0001,1.5e-06,2e-06,-2499.999999999998,112.5000000000006,150
1,9,2,0,0,-0.0001,1.5e-06,2e-06,0,0,0
1,10,2,1,0,-0.0001,1.5e-06,2e-06,0,0,0
1,11,1,1,0,-0.0001,1.5e-06,2e-06,-2499.999999999999,112.5000000000001,150.0000000000002
1,12,1,0,1,-0.0001,1.5e-06,2e-06,-2499.999999999999,112.5000000000005,149.9999999999991
1,13,2,0,1,-0.0001,1.5e-06,2e-06,0,0,0
1,14,2,1,1,-0.0001,1.5e-06,2e-06,0,0,0
1,15,1,1,1,-0.0001,1.5e-06,2e-06,-2499.999999999999,112.4999999999999,149.9999999999991
2,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,2500,-337.4999999999999,-449.9999999999999
2,2,1,1,0,0,0,0,2499.999999999999,-337.4999999999998,-449.9999999999998
2,3,0,1,0,0,0,0,0,0,0
2,4,0,0,1,0,0,0,0,0,0
2,5,1,0,1,0,0,0,2500,-337.5,-449.9999999999999
2,6,1,1,1,0,0,0,2500,-337.4999999999998,-449.9999999999999
2,7,0,1,1,0,0,0,0,0,0
2,8,1,0,0,-0.0001,4.5e-06,6e-06,-2499.999999999999,337.5000000000005,450.0000000000001
2,9,2,0,0,-0.0001,4.5e-06,6e-06,0,0,0
2,10,2,1,0,-0.0001,4.5e-06,6e-06,0,0,0
2,11,1,1,0,-0.0001,4.5e-06,6e-06,-2500,337.5000000000001,450.0000000000002
2,12,1,0,1,-0.0001,4.5e-06,6e-06,-2500,337.5000000000004,449.9999999999991
2,13,2,0,1,-0.0001,4.5e-06,6e-06,0,0,0
2,14,2,1,1,-0.0001,4.5e-06,6e-06,0,0,0
2,15,1,1,1,-0.0001,4.5e-06,6e-06,-2499.999999999999,337.4999999999998,449.9999999999991
3,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,0,0,2500,-449.9999999999999,-599.9999999999998
3,2,1,1,0,0,0,0,2499.999999999999,-450,-599.9999999999998
3,3,0,1,0,0,0,0,0,0,0
3,4,0,0,1,0,0,0,0,0,0
3,5,1,0,1,0,0,0,2500,-449.9999999999999,-599.9999999999999
3,6,1,1,1,0,0,0,2500,-449.9999999999999,-599.9999999999999
3,7,0,1,1,0,0,0,0,0,0
3,8,1,0,0,-0.0001,9e-06,1.2e-05,-2499.999999999999,450.0000000000005,600
3,9,2,0,0,-0.0001,9e-06,1.2e-05,0,0,0
3,10,2,1,0,-0.0001,9e-06,1.2e-05,0,0,0
3,11,1,1,0,-0.0001,9e-06,1.2e-05,-2500,450.0000000000003,600.0000000000002
3,12,1,0,1,-0.0001,9e-06,1.2e-05,-2500,450.0000000000003,599.9999999999991
3,13,2,0,1,-0.0001,9e-06,1.2e-05,0,0,0
3,14,2,1,1,-0.0001,9e-06,1.2e-05,0,0,0
3,15,1,1,1,-0.0001,9e-06,1.2e-05,-2499.999999999999,450.0000000000001,599.9999999999991
