case,node,rf_x_n,rf_y_n,rf_z_n
regular_hourglass_z_large_weak,1,161784000,161784000,160500000.0110421
regular_hourglass_z_large_weak,2,-159216000,159216000,160499999.9884149
regular_hourglass_z_large_weak,3,-161784000,-161784000,160500000.0110421
regular_hourglass_z_large_weak,4,159216000,-159216000,160499999.9884149
regular_hourglass_z_large_weak,5,159216000,159216000,-160499999.9884149
regular_hourglass_z_large_weak,6,-161784000,161784000,-160500000.0110421
regular_hourglass_z_large_weak,7,-159216000,-159216000,-160499999.9884149
regular_hourglass_z_large_weak,8,161784000,-161784000,-160500000.0110421
warped_general_default,1,-5303216005.047455,-7243920329.679159,-6099994579.014953
warped_general_default,2,6589997288.910837,-5532237125.748165,-6049635629.617105
warped_general_default,3,6363182878.471865,7496710420.895963,-6226981933.838955
warped_general_default,4,-4976630205.72449,5129159608.851549,-6167712053.452451
warped_general_default,5,-6796813974.91538,-6889388551.195924,6058361011.338406
warped_general_default,6,5787008811.119968,-5305354754.637147,6172151602.753355
warped_general_default,7,5195640801.887179,7292444984.555061,6178725757.984918
warped_general_default,8,-6859169594.702524,5052585746.957823,6135085823.846786
warped_general_weak,1,-5308527403.588305,-7249197115.51026,-6098303920.444604
warped_general_weak,2,6594231340.415074,-5526800607.265713,-6057451838.759204
warped_general_weak,3,6361205817.363383,7500902698.618479,-6217701206.03637
warped_general_weak,4,-4974473437.571518,5122595018.459208,-6168674871.323478
warped_general_weak,5,-6803806347.60255,-6882950412.18766,6056220163.869034
warped_general_weak,6,5794650867.04262,-5311103085.735278,6178958851.018986
warped_general_weak,7,5184048444.789478,7287156000.994116,6169906546.262996
warped_general_weak,8,-6847329280.848182,5059397502.62711,6137046275.412641
warped_hourglass_vector_default,1,158555011.1828712,224575695.2886463,198124845.9806131
warped_hourglass_vector_default,2,-267643627.5991601,234426157.3490353,173100216.1108363
warped_hourglass_vector_default,3,-164690473.2031524,-260784543.0529242,210248039.3612851
warped_hourglass_vector_default,4,216573105.2380948,-230261779.8013298,221022864.8831293
warped_hourglass_vector_default,5,196400388.6074294,224254832.5291397,-200866943.5199627
warped_hourglass_vector_default,6,-257369012.288648,249296998.986447,-226478678.1571975
warped_hourglass_vector_default,7,-145339068.8799154,-228412153.7368899,-193264378.1026494
warped_hourglass_vector_default,8,263513676.9424806,-213095207.5621243,-181885966.5560543
warped_hourglass_vector_weak,1,154352820.9006599,227810780.6688047,194351661.950354
warped_hourglass_vector_weak,2,-263856050.9721652,231505429.6359793,176504949.3197713
warped_hourglass_vector_weak,3,-168873327.7279883,-257560828.9827411,206489430.1966299
warped_hourglass_vector_weak,4,220857329.0705572,-233504194.86575,224825440.1035151
warped_hourglass_vector_weak,5,192338696.4933461,227356010.5177258,-204493558.6798177
warped_hourglass_vector_weak,6,-253442632.2927825,246240962.812348,-222926752.1988098
warped_hourglass_vector_weak,7,-149339974.5917611,-225357245.2879374,-196836830.7434894
warped_hourglass_vector_weak,8,267963139.1201339,-216490914.4984291,-177914339.9481534
warped_hourglass_x_small_default,1,133866359.2045347,209008479.1537313,180628581.6635405
warped_hourglass_x_small_default,2,-196916610.7059831,178906016.2398308,179982066.1077551
warped_hourglass_x_small_default,3,-160560276.7661183,-219593046.0988039,182552348.3834836
warped_hourglass_x_small_default,4,149777708.6933292,-168673838.1172583,185616292.4095574
warped_hourglass_x_small_default,5,178383183.6024035,198646512.5665547,-183071265.8943835
warped_hourglass_x_small_default,6,-172562624.3512313,174995141.209676,-187201950.474672
warped_hourglass_x_small_default,7,-131244358.454245,-208878690.6896823,-182527092.6229875
warped_hourglass_x_small_default,8,199256618.7773104,-164410574.2640482,-175978979.5722937
warped_hourglass_x_small_weak,1,133830675.6185767,209008478.8959355,180628581.6364093
warped_hourglass_x_small_weak,2,-196884230.4620924,178906016.4737815,179982066.1323769
warped_hourglass_x_small_weak,3,-160595966.8434133,-219593046.3565696,182552348.3563556
warped_hourglass_x_small_weak,4,149811557.4563209,-168673837.8727907,185616292.435286
warped_hourglass_x_small_weak,5,178349867.0297925,198646512.3258454,-183071265.9197166
warped_hourglass_x_small_weak,6,-172527769.0166115,174995141.4614992,-187201950.4481694
warped_hourglass_x_small_weak,7,-131277194.0240212,-208878690.9268362,-182527092.6479464
warped_hourglass_x_small_weak,8,199293060.2414484,-164410574.0008651,-175978979.5445955
warped_hourglass_x_large_default,1,151230724.5919762,214426901.2689016,192352890.5259611
warped_hourglass_x_large_default,2,-263643353.5162719,209275151.1470335,194547100.1351182
warped_hourglass_x_large_default,3,-178348599.8979001,-223683984.7500169,200098499.6843879
warped_hourglass_x_large_default,4,193201707.4858937,-194423171.9328067,200704208.0061221
warped_hourglass_x_large_default,5,210285210.6914502,199996471.1742626,-198218116.5639031
warped_hourglass_x_large_default,6,-230037061.3236186,202792022.5049753,-199089998.2979607
warped_hourglass_x_large_default,7,-139852776.6651286,-214848458.3838254,-197033192.4187925
warped_hourglass_x_large_default,8,257164148.6335991,-193534931.0285241,-193361391.0709331
warped_hourglass_x_large_weak,1,147023573.5521511,214423189.0075112,192352499.8354664
warped_hourglass_x_large_weak,2,-259864379.7609867,209278520.0361432,194547454.6879943
