file	original_sha256	selected_sha256	original_bytes	selected_bytes	original_rows	selected_rows	original_frames	selected_frames
b13_integrated_cax4t_nodes.csv	8a3b76e1a92522f229ef2c0d5826c838ed01393ae74bf35bcc83fe6a1350e00d	8600f33c0a15b32dc9be6c50f3fcbcbce046dd0edd09b2a42802b7ea4ab4f382	1291928	281737	14400	3150	96	21
b13_integrated_cax4t_points.csv	aa8a895a1ceb9286cb3bba2d33c69cadbf70688436574dcd409af0c92cb7712c	a9397f285b4b22f6ae012ec10b048c87f155731730628d7edc9fd7ee9d1e73de	15692855	3430213	39936	8736	96	21
b13_integrated_cax4t_contact.csv	af28c89c87769088fb69ae3040fb858fde81fdd11e090b2864b911432a8a6f76	ca3055d0458b9e77e378bde5ee335cb090f65264b8aac6950bb75dfd420ad14b	169838	35440	864	189	96	21
b13_integrated_cax4rt_nodes.csv	3455203c8a228611fdba9a607f21db77ae05fc8b644e628e427cdfef1cc35ade	4f8f3c7aeb26017b2fd3b6d740705f1e15c9b5a10a7579ed1f20e7fd97c92089	1291807	281653	14400	3150	96	21
b13_integrated_cax4rt_points.csv	04dbef11de31cc9b1b6f3edebcd8176ec27c3ecf0fdd3f9f5619fa5d39b8ab54	cbbc639165d23548f6fc6ad0236b913943b753048daaf77ebaf995ac17f66b3d	3924650	857969	9984	2184	96	21
b13_integrated_cax4rt_contact.csv	fff47b96a0d9f2ef02636919b67a4da69df3b35053c3ce9b2e2156fe4fd7e71e	455dc174ff3fc79c97ee07914ce1ec44f1e93dcb4544cc9efd1f7675e54fc1d5	169901	35440	864	189	96	21
b13_integrated_cax8t_nodes.csv	ece96bccc1d03fa559e0574be7313e6041f3e5a0ab2ab018eb22ae2b03f5ab7e	102b6aa27def630e6302598373b8482983f93d7b8c0948eeb8a872e9b4f81995	3400920	740963	38592	8442	96	21
b13_integrated_cax8t_points.csv	408bb001a70831e39ce3cde91207d782bdd07c3d27180647434548762ba23c52	3b0c6ec000293123f30a8556c8fcfe5708201837e4f0a27fed5e0ac8edd72795	35328070	7721444	89856	19656	96	21
b13_integrated_cax8t_contact.csv	329a266cd9bcad8d3df9c34b011cea9440cae7b3eca3dd0408ad437e36667d04	ea3e5fbd6b978febcb74bee30271b9afb70873df6938c108d3e45a628de7f65f	311272	64830	1632	357	96	21
b13_integrated_cax8rt_nodes.csv	65a89f88ad2439e14d66e69c3ceb8e989e3e2c6faf4176213ae5b1044a421c2d	5dacf4dcbd3248696bd1a4a3a1c60dabf664675a6dcbb762e99a882c496b2bc5	3400535	740904	38592	8442	96	21
b13_integrated_cax8rt_points.csv	59b4af6079e5fb6ed01f82234a8668a5df52a9b5fe0d6a8dffe75ba0945c70f5	b5716bb54aee8bede9c2f6ae7e91e7e3cd637effe18599d86a93af4375e416a7	15691503	3429870	39936	8736	96	21
b13_integrated_cax8rt_contact.csv	dc6973e281e2feb45516d8d9af93fb91fe3c22d67343de2d9398065e5cf97298	5838e20fe2319f570e1193dacb1195b92147cd349a7dd76326132ce59bc8c86e	311255	64836	1632	357	96	21
