stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ivol_m3
1,0.1,1,1,0.2114305278378876,0.2112931769741145,0.2112931769741145,600,99975006.24864876,0.0003514364361763,0.0003514215350151062,6.515638055805917e-11,1.954691416741054e-10,1.303127611160462e-09,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421895,-0.0001499625093717431,-0.0001499625093717431,8.470329472547692e-22,2.54109884176337e-21,1.694065894508601e-20,0,0,0,0,0,0,0,0.1250249962517105
1,0.1,1,2,0.7890694721621124,0.2112931769741145,0.2112931769741146,600,99975006.24864873,0.0003514289855957031,0.0003514215350151062,6.515638055803277e-11,-5.864074250221982e-10,3.257819027901155e-10,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421895,-0.0001499625093717431,-0.0001499625093717431,8.47032947254426e-22,-7.623296525288577e-21,4.235164736271502e-21,0,0,0,0,0,0,0,0.1250249962517104
1,0.1,1,3,0.2114305278378876,0.7885568717600477,0.2112931769741145,600,99975006.24864876,0.0003514476120471954,0.000351443886756897,1.303127611160498e-09,-2.606255222319578e-10,5.212510444641848e-10,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421895,-0.0001499625093717431,-0.0001499625093717431,1.694065894508648e-20,-3.388131789015451e-21,6.776263578034403e-21,0,0,0,0,0,0,0,0.1250249962517105
1,0.1,1,4,0.7890694721621124,0.7885568717600477,0.2112931769741145,600,99975006.24864876,0.0003514364361763,0.0003514289855957031,1.303127611160472e-09,3.909382833481422e-09,-3.909382833481386e-10,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421895,-0.0001499625093717431,-0.0001499625093717431,1.694065894508613e-20,5.082197683525849e-20,-5.082197683525802e-21,0,0,0,0,0,0,0,0.1250249962517105
1,0.1,1,5,0.2114305278378876,0.2112931769741145,0.7885568717600477,600,99975006.24864876,0.0003514364361763,0.0003514215350151062,-5.212510444640502e-10,5.212510444642209e-10,1.824378655624647e-09,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421895,-0.0001499625093717431,-0.0001499625093717431,-6.776263578032653e-21,6.776263578034872e-21,2.371692252312041e-20,0,0,0,0,0,0,0,0.1250249962517105
1,0.1,1,6,0.7890694721621124,0.2112931769741145,0.7885568717600477,600,99975006.24864876,0.000351443886756897,0.000351443886756897,-5.212510444641487e-10,-2.606255222320827e-10,5.212510444641848e-10,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421896,-0.0001499625093717431,-0.0001499625093717431,-6.776263578033934e-21,-3.388131789017075e-21,6.776263578034403e-21,0,0,0,0,0,0,0,0.1250249962517104
1,0.1,1,7,0.2114305278378876,0.7885568717600479,0.7885568717600477,600,99975006.24864873,0.0003514289855957031,0.0003514215350151062,-3.127506266784974e-09,1.346318657154465e-22,2.085004177856739e-09,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421895,-0.0001499625093717431,-0.0001499625093717431,-4.065758146820466e-20,1.750214254300805e-33,2.710505431213761e-20,0,0,0,0,0,0,0,0.1250249962517104
1,0.1,1,8,0.7890694721621124,0.7885568717600477,0.7885568717600477,600,99975006.24864876,0.0003514364361763,0.0003514289855957031,-3.127506266785073e-09,4.170008355713515e-09,0,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421895,-0.0001499625093717431,-0.0001499625093717431,-4.065758146820595e-20,5.421010862427569e-20,0,0,0,0,0,0,0,0,0.1250249962517104
2,0.2,1,1,0.2117475151359954,0.2111565013155048,0.2111565013155048,600,201976242.3216634,0.000742793083190918,0.0007427483797073364,-1.561860978899244e-09,3.380808493305707e-10,3.550115875033658e-09,0.001998002662673058,-0.0007970249665675435,-0.0007970249665675435,0,0,0,0.001009881211606089,-0.0003029643634798952,-0.0003029643634798956,-2.030419272569017e-20,4.395051041297418e-21,4.615150637543756e-20,0.0009881211604600708,-0.0004940605802300352,-0.0004940605802300356,-2.292311014225707e-20,4.961942612622529e-21,5.210431550606128e-20,0.0009881211604602926,0.1250505042911787
2,0.2,1,2,0.7902524848640047,0.2111565013155048,0.2111565013155048,600,201976242.3216634,0.000742688775062561,0.000742688775062561,-1.561860978899237e-09,-1.007878414007948e-09,1.989289067906792e-09,0.001998002662673058,-0.0007970249665675435,-0.0007970249665675435,0,0,0,0.001009881211606089,-0.0003029643634798957,-0.0003029643634798957,-2.030419272569009e-20,-1.310241938210332e-20,2.586075788278829e-20,0.0009881211604600706,-0.0004940605802300351,-0.0004940605802300355,-2.292311014225697e-20,-1.479242276133334e-20,2.919638368874123e-20,0.0009881211604602924,0.1250505042911786
