scenario	transition_scope	abaqus_input	nodal_reference	integration_reference	contact_reference	energy_reference	ctest
b526_contact_cycle	open-close-open-recontact	b526_contact_cycle.inp	b526_contact_cycle_nodal.csv	b526_contact_cycle_integration.csv	b526_contact_cycle_contact.csv	b526_contact_cycle_energy.csv	fuelsim_b526_hex8_c3d8t_contact_cycle_abaqus_tests
b526_friction_reversal	stick-forward_slide-reverse_slide-restick	b526_friction_reversal.inp	b526_friction_reversal_nodal.csv	b526_friction_reversal_integration.csv	b526_friction_reversal_contact.csv	b526_friction_reversal_energy.csv	fuelsim_b526_hex8_c3d8t_friction_reversal_abaqus_tests
b510_small_j2	first_yield-unload-reversal-renewed_yield	b510_hex8_c3d8t_small_j2.inp	b510_hex8_c3d8t_small_j2_nodal.csv	b510_hex8_c3d8t_small_j2_integration.csv	not_applicable	b510_hex8_c3d8t_small_j2_energy.csv	fuelsim_b510_hex8_c3d8t_small_j2_abaqus_tests
b512_small_coupled	creep_only-coupled_plastic_creep_activation	b512_hex8_c3d8t_small_coupled.inp	b512_hex8_c3d8t_small_coupled_nodal.csv	b512_hex8_c3d8t_small_coupled_integration.csv	not_applicable	b512_hex8_c3d8t_small_coupled_energy.csv	fuelsim_b512_hex8_c3d8t_small_coupled_abaqus_tests
b515_finite_j2	finite_strain_first_yield-unload-reversal	b515_hex8_c3d8t_finite_j2.inp	b515_hex8_c3d8t_finite_j2_nodal.csv	b515_hex8_c3d8t_finite_j2_integration.csv	not_applicable	b515_hex8_c3d8t_finite_j2_energy.csv	fuelsim_b515_hex8_c3d8t_finite_j2_abaqus_tests
b517_finite_coupled	finite_strain_creep_only-coupled_plastic_creep_activation	b517_hex8_c3d8t_finite_coupled.inp	b517_hex8_c3d8t_finite_coupled_nodal.csv	b517_hex8_c3d8t_finite_coupled_integration.csv	not_applicable	b517_hex8_c3d8t_finite_coupled_energy.csv	fuelsim_b517_hex8_c3d8t_finite_coupled_abaqus_tests
