element,integration_point,x_m,y_m,z_m,temperature_k,hfl_x_w_m2,hfl_y_w_m2,hfl_z_w_m2,e11,e22,e33,e12,e13,e23,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa
1,1,0.2113248654051851,0.211324865405185,0.211324865405185,360,-148.4529946162079,-90.7179676972448,-346.1880215351709,0.0001523725147669457,0.0001293340389940122,0.0001407934462390421,-2.582903768654801e-05,1.645940724503005e-05,-2.529485756039979e-05,-583820397.6372887,-587506553.7609581,-585673048.6017534,-2066323.014923841,1316752.579602404,-2023588.604831983
1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,410,-148.4529946162079,-157.7350269189626,-182.2649730810366,0.0001577101231861607,0.0001346716474132272,0.0001301182294006121,4.443375672974058e-05,5.893163974770446e-06,1.065384140902198e-05,-582966380.2902143,-586652536.4138837,-587381083.2959021,3554700.538379246,471453.1179816357,852307.3127217586
1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,385,-215.4700538379255,-90.7179676972448,-297.7350269189625,0.0002007029843357555,0.0001074017141465335,0.000114395301517711,-2.5829037686548e-05,-3.32136720504597e-05,-1.952135486850346e-05,-576087522.5062792,-591015725.7365546,-589896751.7571663,-2066323.01492384,-2657093.764036776,-1561708.389480277
1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,445,-215.4700538379255,-157.7350269189626,-253.8119784648302,0.0001838183705327479,9.05171003435259e-05,0.0001481645291237262,4.443375672974059e-05,6.220084679281424e-06,1.642734410091832e-05,-578789060.7147603,-593717263.9450359,-584493675.3402038,3554700.538379247,497606.7743425139,1314187.528073465
1,5,0.211324865405185,0.211324865405185,0.7886751345948151,470,15.47005383792639,-42.26497308103679,-346.1880215351709,0.0001434038516894739,0.0001367051218786963,0.0001423910264318299,1.556624327025908e-05,4.465819873851324e-07,-2.97606774342521e-05,-585255383.7296842,-586327180.4994086,-585417435.7709073,1245299.461620726,35726.55899081059,-2380854.194740168
1,6,0.7886751345948151,0.211324865405185,0.788675134594815,430,15.47005383792639,-229.2820323027559,-182.2649730810365,0.0001487414601086888,0.0001420427302979112,0.0001317158095933999,0.0001358290376865484,-1.011966128287449e-05,7.285468820183731e-05,-584401366.3826098,-585473163.1523342,-587125470.4650561,10866323.01492387,-809572.9026299588,5828375.056146984
1,7,0.211324865405185,0.7886751345948151,0.7886751345948151,455,-171.5470053837929,-42.26497308103676,-297.7350269189625,0.0002250676545916176,9.810613036455062e-05,9.932621504383187e-05,1.556624327025907e-05,1.744016935856304e-05,-2.398717474235577e-05,-572189175.2653412,-592503019.1416719,-592307805.5929869,1245299.461620726,1395213.548685044,-1918973.979388462
1,8,0.7886751345948151,0.7886751345948151,0.7886751345948151,515,-171.5470053837929,-229.2820323027559,-253.8119784648299,0.0002081830407886099,8.122151656154303e-05,0.000133095442649847,0.0001358290376865484,5.68739260883042e-05,7.862819089373363e-05,-574890713.4738225,-595204557.3501531,-586904729.1760244,10866323.01492387,4549914.087064336,6290255.27149869
