time,element,point,s_xx,s_yy,s_zz,s_xy,s_yz,s_xz,e_xx,e_yy,e_zz,e_xy,e_yz,e_xz,p_xx,p_yy,p_zz,p_xy,p_yz,p_xz,c_xx,c_yy,c_zz,c_xy,c_yz,c_xz,equiv_plastic,equiv_creep
0.10000000149011612,1,1,200829703.40663725,0.0011860132217407227,0.0011859387159347534,2.5236189622617162e-08,-1.3282205064535351e-09,1.9923307596803025e-09,0.0010041485170296286,-0.00030124455510580485,-0.00030124455510580533,1.6403523254701155e-19,-8.6334332919479755e-21,1.2950149937921965e-20,0.00041485170272563966,-0.00020742585136281975,-0.00020742585136281996,7.8195177738078106e-20,-4.1155356704251641e-21,6.1733035056377451e-21,8.0999780244730006e-05,-4.0499890122364983e-05,-4.049989012236503e-05,1.5267605680217626e-20,-8.0355819369566462e-22,1.2053372905434969e-21,0.00041485170272563966,8.099978024473e-05
0.10000000149011612,1,2,200829703.40663746,0.0011861547827720642,0.0011861547827720642,2.7892630635524157e-08,-1.3614260191148698e-08,-2.7228520382297396e-08,0.0010041485170296286,-0.00030124455510580458,-0.00030124455510580468,1.8130209913090701e-19,-8.8492691242466522e-20,-1.7698538248493304e-19,0.0004148517027256434,-0.00020742585136282175,-0.00020742585136282175,8.6426249078928971e-20,-4.2184240621858194e-20,-8.4368481243716387e-20,8.0999780244730047e-05,-4.049989012236503e-05,-4.049989012236503e-05,1.6874722067608917e-20,-8.2364714853805444e-21,-1.6472942970761089e-20,0.0004148517027256434,8.099978024473005e-05
0.10000000149011612,1,3,200829703.40663731,0.0011859908699989319,0.001186072826385498,-7.9693230387212001e-09,-2.2579748609710068e-08,3.3205512661338341e-08,0.0010041485170296286,-0.00030124455510580517,-0.00030124455510580458,-5.1800599751687805e-20,-1.4676836596311542e-19,2.1583583229869918e-19,0.00041485170272564118,-0.00020742585136282075,-0.00020742585136282051,-2.4693214022551044e-20,-6.9964106397227963e-20,1.0288839176062935e-19,8.0999780244730033e-05,-4.049989012236505e-05,-4.0499890122365003e-05,-4.8213491621739839e-21,-1.3660489292826287e-20,2.0088954842391601e-20,0.00041485170272564123,8.099978024473005e-05
0.10000000149011612,1,4,200829703.40663737,0.0011860579252243042,0.0011860281229019165,-4.2503056206513076e-08,2.4240024242776989e-08,6.5082804816223148e-08,0.0010041485170296292,-0.0003012445551058049,-0.00030124455510580533,-2.7626986534233502e-19,1.5756015757805045e-19,4.2303823130545052e-19,0.00041485170272564101,-0.00020742585136282045,-0.00020742585136282056,-1.3169714145360552e-19,7.5108525985259392e-20,2.0166124785083342e-19,8.0999780244730033e-05,-4.049989012236501e-05,-4.0499890122365023e-05,-2.5713862198261247e-20,1.4664937034945866e-20,3.9374351491087534e-20,0.000414851702725641,8.099978024473003e-05
0.10000000149011612,1,5,200829703.40663734,0.0011860951781272888,0.0011860504746437073,3.7190174180698981e-08,-9.2975435451747453e-09,-4.7815938232327264e-08,0.001004148517029629,-0.0003012445551058049,-0.00030124455510580501,2.4173613217454344e-19,-6.0434033043635859e-20,-3.1080359851012724e-19,0.00041485170272563933,-0.00020742585136281967,-0.0002074258513628198,1.1523499877190451e-19,-2.8808749692976127e-20,-1.481592841353058e-19,8.0999780244730006e-05,-4.0499890122365003e-05,-4.049989012236503e-05,2.2499629423478614e-20,-5.6249073558696534e-21,-2.8928094973043934e-20,0.00041485170272563933,8.099978024473e-05
0.10000000149011612,1,6,200829703.40663743,0.0011861100792884827,0.0011862292885780334,6.5746915069449868e-08,1.6270701204055774e-08,-3.3205512661338312e-09,0.0010041485170296288,-0.00030124455510580501,-0.0003012445551058042,4.2735494795142403e-19,1.0575955782636252e-19,-2.15835832298699e-20,0.00041485170272564215,-0.00020742585136282135,-0.00020742585136282099,2.0371901568604652e-19,5.0415311962708469e-20,-1.0288839176062954e-20,8.0999780244730033e-05,-4.0499890122365071e-05,-4.0499890122364996e-05,3.9776130587935349e-20,9.8435878727718759e-21,-2.0088954842391587e-21,0.00041485170272564226,8.099978024473005e-05
0.10000000149011612,1,7,200829703.4066374,0.001186080276966095,0.0011861249804496765,3.1877292154884787e-08,3.9846615193605984e-09,2.3907969116163592e-08,0.001004148517029629,-0.00030124455510580485,-0.0003012445551058049,2.0720239900675108e-19,2.5900299875843884e-20,1.5540179925506333e-19,0.00041485170272564188,-0.0002074258513628211,-0.00020742585136282097,9.8772856090204306e-20,1.2346607011275538e-20,7.4079642067653227e-20,8.0999780244730033e-05,-4.049989012236505e-05,-4.0499890122365023e-05,1.928539664869593e-20,2.4106745810869912e-21,1.4464047486521946e-20,0.00041485170272564193,8.099978024473005e-05
0.10000000149011612,1,8,200829703.40663731,0.0011861026287078857,0.0011860653758049011,5.3128820258141378e-09,1.0625764051628276e-08,5.8441702283955513e-08,0.0010041485170296288,-0.00030124455510580485,-0.00030124455510580479,3.453373316779189e-20,6.906746633558378e-20,3.7987106484571085e-19,0.00041485170272564004,-0.00020742585136281996,-0.0002074258513628201,1.6462142681700669e-20,3.2924285363401337e-20,1.8108356949870734e-19,8.0999780244729992e-05,-4.0499890122364989e-05,-4.049989012236501e-05,3.2142327747826577e-21,6.4284655495653154e-21,3.5356560522609236e-20,0.0004148517027256401,8.099978024473e-05
0.20000000298023224,1,1,201657415.43277383,4.4703483581542969e-08,0.0,-5.1828774851348197e-09,1.7775316983979497e-08,-1.7850449627891646e-08,0.0010082870771638696,-0.00030248612314916071,-0.00030248612314916104,-3.3688703653376306e-20,1.1553956039586674e-19,-1.1602792258129566e-19,0.00082870771638693928,-0.00041435385819346958,-0.00041435385819346991,6.2240160581707825e-20,5.0604161689339032e-20,-4.8777682868011096e-20,0.00016300520644919078,-8.1502603224595376e-05,-8.1502603224595444e-05,1.2106124539874879e-20,1.0039130943688703e-20,-9.6831816850791101e-21,0.0008287077163869394,0.0001630052064491908
0.20000000298023224,1,2,201657415.4327738,-7.4505805969238281e-08,0.0,1.5799673232687035e-08,-2.9636169413283183e-08,-3.4830050153596333e-08,0.0010082870771638693,-0.00030248612314916104,-0.00030248612314916088,1.0269787601246572e-19,-1.9263510118634066e-19,-2.2639532599837617e-19,0.00082870771638693993,-0.00041435385819347018,-0.00041435385819346996,1.3506410675848529e-19,-1.3341649390089284e-19,-1.9158962419986857e-19,0.00016300520644919083,-8.1502603224595458e-05,-8.1502603224595417e-05,2.651229677239067e-20,-2.631411097055548e-20,-3.7718775424568838e-20,0.0008287077163869399,0.00016300520644919083
0.20000000298023224,1,3,201657415.43277389,-1.4901161193847656e-08,1.4901161193847656e-08,-2.6367356180313298e-08,2.6830524493377684e-08,1.1873130629285127e-08,0.0010082870771638696,-0.00030248612314916104,-0.00030248612314916082,-1.7138781517203637e-19,1.7439840920695492e-19,7.7175349090353304e-20,0.00082870771638693949,-0.00041435385819347007,-0.00041435385819346975,-1.0586272293562544e-19,1.263122406042749e-20,1.3943874500231732e-19,0.00016300520644919083,-8.1502603224595471e-05,-8.1502603224595417e-05,-2.090505932585189e-20,2.7057469175809138e-21,2.7331394716567848e-20,0.0008287077163869395,0.00016300520644919083
0.20000000298023224,1,4,201657415.43277392,1.3411045074462891e-07,8.9406967163085938e-08,-2.31255549873027e-08,-2.161444874348779e-08,3.5535711628761191e-08,0.0010082870771638693,-0.0003024861231491606,-0.00030248612314916071,-1.5031610741746756e-19,-1.404939168326706e-19,2.3098212558694769e-19,0.00082870771638694015,-0.00041435385819347002,-0.00041435385819347024,-2.0288706011003712e-19,8.5704105239283986e-21,3.11054705505749e-19,0.00016300520644919083,-8.1502603224595403e-05,-8.1502603224595444e-05,-3.98201199984907e-20,1.4804324315799376e-21,6.1050627352365128e-20,0.0008287077163869401,0.00016300520644919083
0.20000000298023224,1,5,201657415.43277377,-4.4703483581542969e-08,-8.9406967163085938e-08,1.4747816217917048e-08,1.3356138387557629e-08,-5.0791086178896041e-08,0.0010082870771638691,-0.00030248612314916098,-0.00030248612314916071,9.5860805416460802e-20,8.6814899519124587e-20,-3.3014206016282427e-19,0.00082870771638693776,-0.00041435385819346888,-0.0004143538581934691,1.6063481025707625e-19,1.2306908110537236e-20,-3.0451502545838784e-19,0.00016300520644919078,-8.150260322459539e-05,-8.1502603224595444e-05,3.1495586392925062e-20,2.5221460408542054e-21,-5.9909931127314146e-20,0.0008287077163869379,0.0001630052064491908
0.20000000298023224,1,6,201657415.43277377,-2.9802322387695313e-08,-1.0430812835693359e-07,4.8263682575452319e-08,-1.6888553346621592e-08,-3.1382684648039711e-08,0.0010082870771638691,-0.00030248612314916066,-0.00030248612314916104,3.1371393674044005e-19,-1.0977559675304031e-19,-2.0398745021225814e-19,0.00082870771638694123,-0.00041435385819347083,-0.00041435385819347072,3.5229437478522453e-19,-1.5745641561966799e-21,-1.0689758082749842e-19,0.00016300520644919086,-8.1502603224595471e-05,-8.1502603224595444e-05,6.9216286691068168e-20,-4.5818812833066675e-22,-2.1151884283929189e-20,0.0008287077163869414,0.0001630052064491909
0.20000000298023224,1,7,201657415.43277374,-7.4505805969238281e-08,-2.9802322387695313e-08,-4.9365594886248736e-09,1.7174255832682354e-08,6.2070627126753409e-10,0.0010082870771638689,-0.00030248612314916071,-0.00030248612314916077,-3.2087636676061678e-20,1.1163266291243529e-19,4.0345907632389789e-21,0.00082870771638694036,-0.0004143538581934704,-0.00041435385819347018,8.3576106493025016e-20,6.5215992259962515e-20,7.5990429894597687e-20,0.00016300520644919083,-8.1502603224595458e-05,-8.1502603224595403e-05,1.6274165963380665e-20,1.2886725012565467e-20,1.4842669434644985e-20,0.0008287077163869405,0.00016300520644919083
0.20000000298023224,1,8,201657415.43277386,7.4505805969238281e-08,2.9802322387695313e-08,-6.0106115129715687e-10,-1.3838951820592389e-08,1.2676119757938874e-08,0.0010082870771638696,-0.00030248612314916077,-0.00030248612314916082,-3.9068974834315193e-21,-8.9953186833850525e-20,8.239477842660265e-20,0.00082870771638693949,-0.00041435385819346964,-0.00041435385819346986,1.4611830570623561e-20,-9.6776697005605479e-21,2.2010585177224984e-19,0.00016300520644919078,-8.1502603224595363e-05,-8.1502603224595417e-05,2.8475940688767567e-21,-2.0130971361049796e-21,4.3088812280902028e-20,0.0008287077163869396,0.0001630052064491908
0.30000001192092896,1,1,202483124.54563129,0.0,4.4703483581542969e-08,1.2341316052261237e-08,-2.6305759190917795e-09,-1.5803950041616963e-09,0.0010124156227281568,-0.00030372468681844707,-0.00030372468681844674,8.0218554339698041e-20,-1.7098743474096566e-20,-1.0272567527051024e-20,0.0012415622728156753,-0.00062078113640783765,-0.00062078113640783787,9.9985295460996849e-20,4.2558711556155204e-20,-5.3611221069450158e-20,0.00024602210445616587,-0.00012301105222808291,-0.00012301105222808296,1.9695925751319987e-20,8.421349808113383e-21,-1.0655110761877243e-20,0.0012415622728156755,0.00024602210445616587
0.30000001192092896,1,2,202483124.54563138,5.9604644775390625e-08,5.9604644775390625e-08,1.5756352356101769e-08,-1.2440893192717983e-08,-5.435205378958171e-09,0.0010124156227281568,-0.0003037246868184468,-0.0003037246868184469,1.024162903146615e-19,-8.0865805752666888e-20,-3.5328834963228114e-20,0.0012415622728156792,-0.00062078113640783993,-0.00062078113640783971,1.8325391426104094e-19,-1.7146617916861056e-19,-2.0821285621634593e-19,0.00024602210445616587,-0.00012301105222808299,-0.00012301105222808296,3.6202315380931672e-20,-3.3965151250676117e-20,-4.1061379097870866e-20,0.0012415622728156792,0.0002460221044561659
0.30000001192092896,1,3,202483124.54563147,2.9802322387695313e-08,1.4901161193847656e-07,-2.4839511107913419e-08,-1.7493346062089058e-08,2.2239617515481838e-08,0.0010124156227281568,-0.00030372468681844696,-0.00030372468681844647,-1.6145682220143718e-19,-1.1370674940357886e-19,1.4455751385063188e-19,0.001241562272815677,-0.00062078113640783917,-0.00062078113640783852,-1.8183279720756719e-19,-4.0871068872314626e-20,2.0745720909730804e-19,0.00024602210445616587,-0.00012301105222808304,-0.00012301105222808293,-3.618114096092213e-20,-8.0525075969321493e-21,4.1008564578055393e-20,0.0012415622728156773,0.0002460221044561659
0.30000001192092896,1,4,202483124.54563129,-4.4703483581542969e-08,-1.3411045074462891e-07,-3.4757607204087245e-08,1.0335320380460216e-08,2.337052848711842e-08,0.001012415622728157,-0.00030372468681844712,-0.0003037246868184475,-2.2592444682656704e-19,6.7179582472991414e-20,1.5190843516626973e-19,0.0012415622728156777,-0.00062078113640783874,-0.00062078113640783917,-3.0919100423107321e-19,4.0180334467952106e-20,3.8253198930684951e-19,0.00024602210445616592,-0.00012301105222808293,-0.00012301105222808302,-6.1195743809387193e-20,7.8365638856413136e-21,7.5423297549976973e-20,0.0012415622728156777,0.0002460221044561659
0.30000001192092896,1,5,202483124.54563135,4.4703483581542969e-08,-1.0430812835693359e-07,1.3419113667907868e-08,-7.4522988971493425e-09,-7.6401230528908254e-09,0.0010124156227281573,-0.00030372468681844685,-0.00030372468681844772,8.7224238841401139e-20,-4.8439942831470714e-20,-4.9660799843790327e-20,0.0012415622728156753,-0.00062078113640783744,-0.00062078113640783809,2.0167632100121526e-19,-1.0485476902740222e-20,-3.2788185877701857e-19,0.00024602210445616587,-0.00012301105222808288,-0.00012301105222808304,3.9748223692052129e-20,-2.0609524680987047e-21,-6.4608539845935836e-20,0.0012415622728156753,0.00024602210445616587
0.30000001192092896,1,6,202483124.54563123,-1.3411045074462891e-07,-2.9802322387695313e-08,3.9495572464150789e-08,1.252219294504209e-08,-1.5055443769499476e-08,0.0010124156227281566,-0.00030372468681844739,-0.00030372468681844685,2.5672122101698011e-19,8.1394254142773529e-20,-9.7860384501746597e-20,0.0012415622728156779,-0.00062078113640783917,-0.00062078113640783885,4.7308908610136171e-19,3.672377126391387e-20,-1.5294370373212889e-19,0.00024602210445616592,-0.00012301105222808304,-0.00012301105222808293,9.3505717612838094e-20,7.2428507869490316e-21,-3.0410850254552239e-20,0.0012415622728156781,0.000246022104456166
0.30000001192092896,1,7,202483124.54563135,-1.4901161193847656e-08,-1.4901161193847656e-08,1.4163880275511881e-08,-1.3005726854444095e-08,2.0378823918613773e-08,0.0010124156227281568,-0.00030372468681844712,-0.00030372468681844712,9.2065221790827252e-20,-8.45372245538866e-20,1.3246235547098949e-19,0.0012415622728156788,-0.00062078113640783971,-0.0006207811364078395,1.2689543881944614e-19,2.5438798948861744e-20,1.3831777442025915e-19,0.00024602210445616592,-0.00012301105222808302,-0.00012301105222808296,2.4984828198965069e-20,4.8883169807496346e-21,2.7375467542265094e-20,0.001241562272815679,0.0002460221044561659
0.30000001192092896,1,8,202483124.54563129,-2.9802322387695313e-08,-2.9802322387695313e-08,3.6124189350529496e-09,-2.3477452162588591e-09,7.7219586741014247e-10,0.0010124156227281573,-0.00030372468681844739,-0.00030372468681844718,2.3480723077844177e-20,-1.5260343905682587e-20,5.0192731381659298e-21,0.0012415622728156753,-0.00062078113640783765,-0.00062078113640783787,2.5660185492146549e-20,-1.6858100010799584e-20,2.2246756401146319e-19,0.00024602210445616587,-0.00012301105222808291,-0.00012301105222808296,5.0692000542844912e-21,-3.4569398681984561e-21,4.3563705971746979e-20,0.0012415622728156755,0.00024602210445616587
