field,time,node,absolute_vector_difference,reference_vector_norm
reaction,2.375,60,0.39100817316049385,2.0572224823421266
tangential_force,4.2750000059604645,80,3.132790780704279,2425.172915039098
slip,5.524999976158142,88,3.041125304044217e-06,0.0005954016189930326
