case	metric	value
b125_cax8rt_finite_coupled	rz_elastic_tensor_zero_reference_count	0
b125_cax8rt_finite_coupled	rz_elastic_tensor_maximum_zero_reference_absolute_difference	0.000000000000e+00
b125_cax8rt_finite_coupled	rz_plastic_tensor_relative_l2	1.681379902678e-12
b125_cax8rt_finite_coupled	rz_plastic_tensor_relative_absolute_peak	2.768752226345e-12
b125_cax8rt_finite_coupled	rz_plastic_tensor_maximum_pointwise_relative	6.145692840759e-12
b125_cax8rt_finite_coupled	rz_plastic_tensor_maximum_pointwise_relative_index	1
b125_cax8rt_finite_coupled	rz_plastic_tensor_maximum_pointwise_actual_norm	2.217869282316e-03
b125_cax8rt_finite_coupled	rz_plastic_tensor_maximum_pointwise_reference_norm	2.217869282303e-03
b125_cax8rt_finite_coupled	rz_plastic_tensor_maximum_difference_index	17
b125_cax8rt_finite_coupled	rz_plastic_tensor_maximum_absolute_group_difference	3.001908496997e-14
b125_cax8rt_finite_coupled	rz_plastic_tensor_zero_reference_count	0
b125_cax8rt_finite_coupled	rz_plastic_tensor_maximum_zero_reference_absolute_difference	0.000000000000e+00
b125_cax8rt_finite_coupled	rz_creep_tensor_relative_l2	3.804623844396e-12
b125_cax8rt_finite_coupled	rz_creep_tensor_relative_absolute_peak	5.763648169017e-12
b125_cax8rt_finite_coupled	rz_creep_tensor_maximum_pointwise_relative	1.792703432364e-11
b125_cax8rt_finite_coupled	rz_creep_tensor_maximum_pointwise_relative_index	1
b125_cax8rt_finite_coupled	rz_creep_tensor_maximum_pointwise_actual_norm	1.262765178893e-06
b125_cax8rt_finite_coupled	rz_creep_tensor_maximum_pointwise_reference_norm	1.262765178871e-06
b125_cax8rt_finite_coupled	rz_creep_tensor_maximum_difference_index	17
b125_cax8rt_finite_coupled	rz_creep_tensor_maximum_absolute_group_difference	1.465006064943e-15
b125_cax8rt_finite_coupled	rz_creep_tensor_zero_reference_count	0
b125_cax8rt_finite_coupled	rz_creep_tensor_maximum_zero_reference_absolute_difference	0.000000000000e+00
b125_cax8rt_finite_coupled	rz_equivalent_plastic_strain_relative_l2	1.399828556740e-12
b125_cax8rt_finite_coupled	rz_equivalent_plastic_strain_relative_absolute_peak	1.725016406128e-12
b125_cax8rt_finite_coupled	rz_equivalent_plastic_strain_maximum_pointwise_relative	6.142094865351e-12
b125_cax8rt_finite_coupled	rz_equivalent_plastic_strain_maximum_pointwise_relative_index	1
b125_cax8rt_finite_coupled	rz_equivalent_plastic_strain_maximum_pointwise_relative_actual	1.810882685956e-03
b125_cax8rt_finite_coupled	rz_equivalent_plastic_strain_maximum_pointwise_relative_reference	1.810882685945e-03
b125_cax8rt_finite_coupled	rz_equivalent_plastic_strain_maximum_absolute_difference_index	17
b125_cax8rt_finite_coupled	rz_equivalent_plastic_strain_maximum_absolute_difference_actual	8.852536535158e-03
b125_cax8rt_finite_coupled	rz_equivalent_plastic_strain_maximum_absolute_difference_reference	8.852536535173e-03
b125_cax8rt_finite_coupled	rz_equivalent_plastic_strain_zero_reference_count	0
