step,time,id,x,y,z,disp_x,disp_y,disp_z
1,1,0,0.9,0,0,0,0,0
1,1,1,1,0,0,-9.659002010864142e-07,-4.249678861331479e-07,0
1,1,2,0.9238795325112867,0.3826834323650898,0,-7.946521091077339e-07,-3.488926828135885e-07,0
1,1,3,0.831491579260158,0.3444150891285808,0,0,0,0
1,1,4,0.9,0,0.5,0,0,1.796374612028161e-06
1,1,5,1,0,0.5,-1.118521863123306e-06,-5.897769792727581e-07,1.789093871524259e-06
1,1,6,0.9238795325112867,0.3826834323650898,0.5,-9.09923278114522e-07,-4.023994780987204e-07,1.801901668621223e-06
1,1,7,0.831491579260158,0.3444150891285808,0.5,0,0,1.804920379364909e-06
1,1,8,0.95,0,0,-4.865641965948333e-07,-2.525053393517346e-07,0
1,1,9,0.9807852804032304,0.1950903220161282,0,-8.317473140101451e-07,-2.412789054756947e-07,0
1,1,10,0.8776855558857224,0.3635492607468353,0,-3.983645842725946e-07,-1.763926182413371e-07,0
1,1,11,0.8827067523629074,0.1755812898145154,0,0,0,0
1,1,12,0.9,0,0.25,0,0,9.631374073261253e-07
1,1,13,1,0,0.25,-1.185401656093682e-06,-6.022957439383214e-07,1.052282153855774e-06
1,1,14,0.9238795325112867,0.3826834323650898,0.25,-9.754318272327921e-07,-4.25185789781227e-07,1.056467062297481e-06
1,1,15,0.831491579260158,0.3444150891285808,0.25,0,0,9.700130501865664e-07
1,1,16,0.95,0,0.5,-5.688343017177882e-07,-3.540607417652313e-07,1.778913857290982e-06
1,1,17,0.9807852804032304,0.1950903220161282,0.5,-9.363762226472625e-07,-2.795415559668161e-07,1.804109942099053e-06
1,1,18,0.8776855558857224,0.3635492607468353,0.5,-4.638338294801813e-07,-2.040169770076014e-07,1.790256784552153e-06
1,1,19,0.8827067523629074,0.1755812898145154,0.5,0,0,1.806675481894669e-06
1,1,20,0.7071067811865476,0.7071067811865475,0,-6.01707169234827e-07,-6.01707165008751e-07,0
1,1,21,0.6363961030678928,0.6363961030678927,0,0,0,0
1,1,22,0.7071067811865476,0.7071067811865475,0.5,-6.880994441014123e-07,-6.880994397858329e-07,1.811646552581961e-06
1,1,23,0.6363961030678928,0.6363961030678927,0.5,0,0,1.814364310612794e-06
1,1,24,0.8314696123025452,0.5555702330196022,0,-7.191057370424973e-07,-4.792565287576322e-07,0
1,1,25,0.6717514421272202,0.67175144212722,0,-3.080353615273776e-07,-3.080353602590105e-07,0
1,1,26,0.7483226510722907,0.500013209717642,0,0,0,0
1,1,27,0.7071067811865476,0.7071067811865475,0.25,-7.463531137019808e-07,-7.463531128806554e-07,1.0576233361615e-06
