time,node,temperature,ux,uy,uz,rx,ry,rz,heat_reaction
0.10000000149011612,1,300.0,-2.4803111463432377e-87,-3.03013673275855e-88,7.121463644163507e-89,2.4803111463432394e-51,3.0301367327585593e-52,-7.1214636441634628e-53,-2.5648927713938475e-14
0.10000000149011612,2,300.0,-9.301736945939475e-60,-5.0329582586820889e-75,-3.1695722421131757e-75,9.3017369460324949e-24,5.0329582587324186e-39,3.1695722421448716e-39,-0.30000000000004623
0.10000000149011612,3,300.0,6.2715973622352389e-60,2.7026578787437219e-76,2.2046747506986111e-76,-6.2715973622979548e-24,-2.7026578787707491e-40,-2.2046747507206582e-40,-0.29999999999987004
0.10000000149011612,4,300.0,-5.5698017790368836e-87,-1.6086125229001361e-87,3.8580269547149892e-88,5.5698017790368837e-51,1.6086125229001366e-51,-3.8580269547149838e-52,-2.3460676844309118e-14
0.10000000149011612,5,300.0,-2.5533151421443394e-87,-1.1019904881417873e-88,-1.2052918012665209e-87,2.5533151421443388e-51,1.1019904881417916e-52,1.2052918012665212e-51,-2.8096869248841556e-14
0.10000000149011612,6,300.0,3.7368575909947225e-60,3.9748253967341376e-76,9.1476578951124576e-76,-3.7368575910320919e-24,-3.9748253967738875e-40,-9.1476578952039332e-40,-0.3000000000000601
0.10000000149011612,7,300.0,4.7361517168536149e-60,8.7652382521856062e-77,3.3955585156518852e-77,-4.7361517169009772e-24,-8.7652382522732587e-41,-3.3955585156858415e-41,-0.2999999999998549
0.10000000149011612,8,300.0,-5.6315711116013357e-87,-1.4747279230863118e-87,-1.1093585750639641e-87,5.6315711116013364e-51,1.4747279230863122e-51,1.1093585750639646e-51,-3.5940448156568604e-14
0.10000000149011612,9,300.0,-8.6632056829992753e-89,-7.2226745757167986e-88,-1.8740493492043138e-87,8.6632056829989639e-53,7.222674575716788e-52,1.8740493492043126e-51,0.0
0.10000000149011612,10,300.0,-2.0440413359809651e-59,-8.422489224504387e-76,-7.5180030464786009e-76,2.0440413360014057e-23,8.4224892245886147e-40,7.5180030465537814e-40,0.0
0.10000000149011612,11,300.0,5.84283563750831e-87,3.4237243479957956e-87,-2.3044306665036299e-87,-5.8428356375083084e-51,-3.4237243479957967e-51,2.304430666503629e-51,0.0
0.10000000149011612,12,300.0,-6.6134654389594794e-87,6.8871847275437893e-88,-2.3439600474602985e-87,6.6134654389594791e-51,-6.8871847275437993e-52,2.3439600474602984e-51,0.0
0.10000000149011612,13,300.0,-4.4901068818765411e-87,-1.3367682644942747e-87,4.4644798569202341e-88,4.4901068818765415e-51,1.3367682644942739e-51,-4.4644798569202374e-52,0.0
0.10000000149011612,14,300.0,-2.6622884278123571e-59,-3.1615756128425677e-75,-6.8114476769862829e-76,2.6622884278389806e-23,3.1615756128741836e-39,6.8114476770543976e-40,0.0
0.10000000149011612,15,300.0,-1.129729800856258e-59,-1.3807645764655647e-76,-1.3886617002131717e-76,1.1297298008675553e-23,1.3807645764793723e-40,1.3886617002270584e-40,0.0
0.10000000149011612,16,300.0,-5.861513797303566e-88,3.0540026567662238e-87,2.8735762375032795e-88,5.8615137973035807e-52,-3.054002656766224e-51,-2.873576237503283e-52,0.0
0.10000000149011612,17,300.0,1.089506262787971e-87,-1.030567491748389e-87,3.857689472965583e-87,-1.0895062627879707e-51,1.0305674917483882e-51,-3.8576894729655847e-51,0.0
0.10000000149011612,18,300.0,-1.208240970006748e-59,-1.5270907928381762e-76,-6.1047104348839665e-77,1.2082409700188304e-23,1.5270907928534475e-40,6.1047104349450133e-41,0.0
0.10000000149011612,19,300.0,6.2921832308427865e-87,2.9934409297003844e-87,3.2994076042729062e-87,-6.2921832308427863e-51,-2.9934409297003844e-51,-3.2994076042729074e-51,0.0
0.10000000149011612,20,300.0,-6.0074795384094161e-87,5.5377365625145297e-88,3.0749222390408335e-87,6.0074795384094175e-51,-5.5377365625145313e-52,-3.0749222390408342e-51,0.0
0.10000000149011612,21,300.0,-2.8558599440069846e-87,-2.7690237818369185e-88,6.2937419458444723e-89,2.855859944006985e-51,2.7690237818369199e-52,-6.2937419458444755e-53,-1.5759746439750674e-13
0.10000000149011612,22,300.0,-6.0567588927174699e-88,-4.9650214818037385e-88,6.1515710527536031e-89,6.0567588927174732e-52,4.9650214818037396e-52,-6.1515710527536011e-53,1.398069884529133e-13
0.10000000149011612,23,300.0,-2.6340733507851886e-87,-2.6623956120187299e-88,-6.1515710527535648e-89,2.6340733507851883e-51,2.6623956120187293e-52,6.1515710527535631e-53,-1.0759581568332214e-13
0.10000000149011612,24,300.0,-4.1090176573722198e-88,-5.2138205447128116e-88,-6.2937419458444597e-89,4.1090176573722225e-52,5.2138205447128109e-52,6.2937419458444607e-53,1.8804881263900732e-14
0.10000000149011612,25,300.0,6.7119631696386876e-87,-7.7340452636403652e-88,1.8241456818624138e-88,-6.7119631696386872e-51,7.7340452636403646e-52,-1.8241456818624133e-52,0.0
0.10000000149011612,26,300.0,-3.6053454784473102e-87,7.734045263640623e-88,-1.2445312998598049e-88,3.6053454784473103e-51,-7.7340452636406228e-52,1.2445312998598045e-52,0.0
0.10000000149011612,27,300.0,2.8962039957936067e-87,7.7340452636404154e-88,-1.8241456818624138e-88,-2.8962039957936065e-51,-7.7340452636404166e-52,1.8241456818624133e-52,0.0
0.10000000149011612,28,300.0,-3.9470836806205981e-87,-1.0862838787710569e-87,-5.6868357236357407e-90,3.9470836806205985e-51,1.0862838787710569e-51,5.6868357236357434e-54,0.0
0.10000000149011612,29,300.0,-3.1113282496493686e-87,1.0862838787710536e-87,5.6868357236355174e-90,3.111328249649368e-51,-1.0862838787710539e-51,-5.6868357236354918e-54,0.0
0.10000000149011612,30,300.0,6.1432795972751019e-87,-7.8762161567312737e-88,-1.9094482177169476e-88,-6.1432795972751025e-51,7.8762161567312736e-52,1.9094482177169479e-52,0.0
0.10000000149011612,31,300.0,-3.7105519393345741e-87,7.8762161567315125e-88,1.2445312998598003e-88,3.7105519393345742e-51,-7.8762161567315124e-52,-1.2445312998598001e-52,0.0
0.10000000149011612,32,300.0,2.5948017024409112e-87,7.8762161567313183e-88,1.9094482177169462e-88,-2.5948017024409117e-51,-7.8762161567313196e-52,-1.9094482177169461e-52,0.0
0.10000000149011612,33,300.0,2.2884753401554146e-114,4.7529360302125343e-115,-8.6708058017381914e-117,-2.288475340155414e-78,-4.7529360302125328e-79,8.6708058017382074e-81,-6.012288787424477e-14
0.10000000149011612,34,300.0,1.8136006241670675e-114,3.8056373763513904e-115,-2.9066405917434214e-116,-1.813600624167067e-78,-3.8056373763513941e-79,2.9066405917434235e-80,-2.372615391445229e-13
0.10000000149011612,35,300.0,2.2250454012837605e-114,4.7394100494115199e-115,7.8381845991459928e-117,-2.2250454012837608e-78,-4.7394100494115213e-79,-7.8381845991460013e-81,2.509251018641926e-14
0.10000000149011612,36,300.0,1.7502509855220662e-114,3.9259231666864053e-115,3.2071082431137517e-116,-1.7502509855220671e-78,-3.9259231666864051e-79,-3.2071082431137525e-80,-7.562422350955978e-14
0.10000000149011612,37,300.0,-3.1558279925901693e-114,-1.8505897475779873e-114,8.6799791282328627e-116,3.155827992590168e-78,1.8505897475779874e-78,-8.6799791282328691e-80,0.0
0.10000000149011612,38,300.0,-3.2399668291109467e-114,1.0147790423810731e-114,-4.2960213876704943e-116,3.2399668291109471e-78,-1.0147790423810739e-78,4.2960213876704959e-80,0.0
0.10000000149011612,39,300.0,-2.1577000380825556e-114,-7.4282718705376557e-115,-9.1739469958390436e-116,2.1577000380825544e-78,7.4282718705376589e-79,9.1739469958390509e-80,0.0
0.10000000149011612,40,300.0,-3.4139181690853278e-114,1.7730216580109121e-115,4.6732099117807508e-118,3.4139181690853276e-78,-1.7730216580109119e-79,-4.6732099117807959e-82,0.0
0.10000000149011612,41,300.0,-3.2444254028592012e-114,1.9215299144313908e-114,-2.4419167285515695e-117,3.2444254028592007e-78,-1.9215299144313919e-78,2.4419167285515767e-81,0.0
0.10000000149011612,42,300.0,-3.0330423640516404e-114,-1.8528671146617564e-114,-8.3261315720956166e-116,3.0330423640516389e-78,1.8528671146617567e-78,8.3261315720956162e-80,0.0
0.10000000149011612,43,300.0,-3.2263710792605477e-114,1.017846247759793e-114,4.0985618139331288e-116,3.2263710792605477e-78,-1.0178462477597936e-78,-4.0985618139331297e-80,0.0
0.10000000149011612,44,300.0,-2.0411962567831919e-114,-7.5713642416393484e-115,8.5831479512169367e-116,2.0411962567831925e-78,7.5713642416393509e-79,-8.5831479512169319e-80,0.0
0.10000000149011612,45,300.0,-1.1548801685963708e-141,-4.96233075475978e-142,3.0789091774560916e-143,1.1548801685963712e-105,4.9623307547597804e-106,-3.0789091774560891e-107,1.0934302881165649e-13
0.10000000149011612,46,300.0,-1.0405681280080603e-141,-6.4625830363555943e-142,1.3047795941914407e-143,1.0405681280080605e-105,6.4625830363555965e-106,-1.3047795941914405e-107,1.4685696039877245e-13
0.10000000149011612,47,300.0,-1.1439034204503034e-141,-4.9559410482756896e-142,-3.0221797427808745e-143,1.1439034204503027e-105,4.9559410482756904e-106,3.0221797427808755e-107,1.3673838472468783e-14
0.10000000149011612,48,300.0,-1.0295493654621355e-141,-6.4915914932340555e-142,-1.4052883760252155e-143,1.0295493654621357e-105,6.4915914932340583e-106,1.4052883760252194e-107,1.1232044854431237e-13
0.10000000149011612,49,300.0,1.9361776836816913e-141,-5.9833096979351933e-143,2.0010702503045095e-142,-1.9361776836816915e-105,5.983309697935224e-107,-2.00107025030451e-106,0.0
0.10000000149011612,50,300.0,-1.0659406727359396e-141,9.9827026263979923e-142,-8.1592818406398913e-143,1.0659406727359395e-105,-9.9827026263979932e-106,8.1592818406398893e-107,0.0
0.10000000149011612,51,300.0,1.6377275704422949e-141,1.4927099307540024e-141,-3.4240241068308639e-142,-1.6377275704422945e-105,-1.4927099307540022e-105,3.424024106830867e-106,0.0
0.10000000149011612,52,300.0,-1.4323737409971542e-141,-1.9921154962157607e-142,-1.576860353201262e-144,1.4323737409971542e-105,1.9921154962157602e-106,1.5768603532013163e-108,0.0
0.10000000149011612,53,300.0,-1.6247585073575789e-141,2.1380620954466443e-141,8.2889080120152279e-145,1.6247585073575788e-105,-2.1380620954466441e-105,-8.288908012014636e-109,0.0
0.10000000149011612,54,300.0,1.9165332985375747e-141,-5.9122376591383983e-143,-2.0218546987697622e-142,-1.9165332985375747e-105,5.9122376591383876e-107,2.0218546987697623e-106,0.0
0.10000000149011612,55,300.0,-1.0744788271421122e-141,9.9884802691478116e-142,8.0572793441693303e-143,1.0744788271421121e-105,-9.9884802691478083e-106,-8.0572793441693383e-107,0.0
0.10000000149011612,56,300.0,1.6185290977711294e-141,1.496896646593774e-141,3.4501619037396516e-142,-1.6185290977711292e-105,-1.4968966465937741e-105,-3.4501619037396514e-106,0.0
0.10000000149011612,57,301.0,9.3017369459394728e-60,5.032958258684138e-75,3.1695722421167809e-75,-9.3017369460324919e-24,-5.0329582587344675e-39,-3.1695722421484774e-39,0.30000000000007276
0.10000000149011612,58,301.0,2.480311146343231e-87,-3.03013673275855e-88,7.1214636441635586e-89,-2.4803111463432293e-51,3.0301367327585474e-52,-7.1214636441636131e-53,1.893279272713299e-14
0.10000000149011612,59,301.0,4.8225675092319494e-87,-1.6086125229001352e-87,4.8767279654644077e-88,-4.8225675092319503e-51,1.6086125229001348e-51,-4.87672796546441e-52,7.287196404251591e-14
0.10000000149011612,60,301.0,-6.2715973622352389e-60,-2.7026578787800222e-76,-2.2046747506535315e-76,6.2715973622979556e-24,2.7026578788070489e-40,2.2046747506755793e-40,0.3000000000001104
0.10000000149011612,61,301.0,-3.7368575909947241e-60,-3.9748253967113238e-76,-9.1476578951655053e-76,3.7368575910320934e-24,3.9748253967510734e-40,9.147657895256979e-40,0.2999999999999542
0.10000000149011612,62,301.0,2.5533151421443345e-87,-1.1019904881417786e-88,-1.2052918012665202e-87,-2.553315142144334e-51,1.1019904881417771e-52,1.2052918012665197e-51,-3.877920035507795e-14
0.10000000149011612,63,301.0,4.9131264476473103e-87,-1.4747279230863106e-87,-1.1941681689679975e-87,-4.9131264476473104e-51,1.4747279230863104e-51,1.1941681689679979e-51,-1.3205514600479092e-14
