case,modes,modal_dofs,local_dofs,section_basis_size,solid_displacement_dofs,displacement_L2,axial_stress_L2,stress_tensor_L2,bending_moment_L2,bending_moment_absolute,axial_force_absolute,energy_relative,modal_energy,solid_energy
nonuniform,3,81,0,3,1359,0.06751395768373143,0.28527525732466963,0.38770595167823757,0.3087678917168356,0.00256299575510533,7.739107337384477e-05,0.07732771228398405,3.0271894661161564e-07,3.280893450923583e-07
nonuniform,4,108,0,4,1359,0.06744701777088837,0.2852666896388615,0.385473172555158,0.3087678917168505,0.002562995755105463,7.739107337378925e-05,0.07459749461991305,3.036147019369803e-07,3.280893450923583e-07
nonuniform,6,162,0,6,1359,0.06616371584269953,0.2748337575848949,0.37876418004306983,0.29716548672276116,0.002462027282728182,7.739107336228457e-05,0.07314399766023538,3.0409157880257465e-07,3.280893450923583e-07
nonuniform,8,216,0,8,1359,0.008100289678446499,0.10808944235365725,0.16704360523719805,0.0994361828394944,0.0003901965087017203,1.7670605948039153e-05,0.009137663422895903,3.3108731510045057e-07,3.280893450923583e-07
nonuniform,12,324,0,12,1359,0.011219931267471523,0.1026788296569913,0.15908491685514617,0.10059349177678094,0.00038758273793040475,1.9979253945992537e-05,0.01260697097896979,3.3222555794444685e-07,3.280893450923583e-07
