case,modes,modal_dofs,local_dofs,section_basis_size,solid_displacement_dofs,displacement_L2,axial_stress_L2,stress_tensor_L2,bending_moment_L2,bending_moment_absolute,axial_force_absolute,energy_relative,modal_energy,solid_energy
bending,3,81,0,3,1359,0.04000743011872245,0.14093190637726288,0.19210824475192398,0.15329789695965398,0.00015024669985559642,1.7333964125176848e-12,0.01603313600858891,4.17868502220861e-09,4.246774129423412e-09
bending,12,324,0,12,1359,0.003309710290355548,0.036803217072242995,0.06743412329928584,0.0332706535177256,2.7494085501537224e-05,1.6619240705839644e-12,0.0018851392112686494,4.25477988985619e-09,4.246774129423412e-09
