case,modes,modal_dofs,local_dofs,section_basis_size,solid_displacement_dofs,displacement_L2,axial_stress_L2,stress_tensor_L2,bending_moment_L2,bending_moment_absolute,axial_force_absolute,energy_relative,modal_energy,solid_energy
transverse,3,81,0,3,1359,0.06744722853998136,0.2851751948180828,0.3856559838060065,0.30876784718750366,0.002562995754136439,7.739107343478213e-05,0.07490312377767827,3.0271894651599234e-07,3.2722945487845546e-07
transverse,12,324,0,12,1359,0.01121936966337051,0.1024179049763319,0.15884126937356127,0.1005934905111815,0.0003875827372559963,1.9979254011634473e-05,0.012525828384690962,3.3132827487267896e-07,3.2722945487845546e-07
