case,modes,modal_dofs,local_dofs,section_basis_size,solid_displacement_dofs,displacement_L2,axial_stress_L2,stress_tensor_L2,bending_moment_L2,bending_moment_absolute,axial_force_absolute,energy_relative,modal_energy,solid_energy
axial,3,81,0,3,1359,0.004012157533381188,0.051552837841826654,0.0994935129288166,,4.75698473667574e-13,10.646539251640831,0.0024782418600719502,5.673088146999569e-05,5.6871823603909524e-05
axial,12,324,0,12,1359,0.003474885623369713,0.023945544819631983,0.059914018927139004,,4.755055398909802e-13,2.959012014907721,0.0021097697936141024,5.6991810059456806e-05,5.6871823603909524e-05
