metric,value
mode_count,12
axial_nodes,73
poisson_relaxation_modes,41
automatic_distortion_modes,43
independent_shear_modes,2
independent_axial_warping_modes,116
shear_free_distortion_modes,38
transverse_corrector_modes,44
refinement_iterations,6
algebraic_relative_residual,1.1004549032220601e-08
dof_count,1044
section_basis_size,288
recovered_local_dofs,32256
active_axial_dofs,33300
constraint_count,290
strain_energy,3.387184511859566e-07
equilibrium_relative_residual,3.1865142995980975e-09
constraint_maximum_error,3.5368184255131454e-26
external_work,6.7743690237191395e-07
global_constraint_count,0
global_system_size,1044
local_system_size,32546
section_preprocessing_seconds,2.5856289139999999
assembly_seconds,1.279001402
condensation_seconds,2.0003404899999997
solve_and_refinement_seconds,2.2871342929999994
field_recovery_seconds,1.3214132450000005
