time,interface_heat_rate,generated,stored,dirichlet,balance
5.0000000745058060e-02,3.1504965993164213e-02,3.2479284386417087e+00,3.2261294330832091e+00,-2.1799005558732244e-02,2.3268192927972109e-13
1.0000000149011612e-01,1.6550823967670186e-01,9.7439425534159820e+00,9.6233787028724915e+00,-1.2056385054352566e-01,3.5152436517194019e-14
1.5000000596046448e-01,5.6572904616362540e-01,1.6240332710172176e+01,1.5823391543419094e+01,-4.1694116675321363e-01,1.3161693956931231e-13
2.0000000298023224e-01,1.1117292035980935e+00,2.2737291089950926e+01,2.1833960910383492e+01,-9.0333017956735584e-01,-7.7493567118835927e-14
2.5000000000000000e-01,1.7226681523181477e+00,2.8152179312101410e+01,2.6674051651912905e+01,-1.4781276601887132e+00,2.0783375020982930e-13
3.0000001192092896e-01,2.3930107856956906e+00,3.2484921794762393e+01,3.0366066355672665e+01,-2.1188554390894558e+00,-2.7222668563808838e-13
3.4999999403953552e-01,3.0977939820858644e+00,3.6818323025161988e+01,3.4002415509550872e+01,-2.8159075154861757e+00,-1.2494005829921662e-10
4.0000000596046448e-01,3.8701617410590243e+00,4.1152457689454415e+01,3.7585667500935912e+01,-3.5667901885183091e+00,-1.9406698470447736e-13
4.4999998807907104e-01,4.7064297110387319e+00,4.5487398119207064e+01,4.1108938399388180e+01,-4.3784597198190331e+00,1.4832579608992091e-13
5.0000000000000000e-01,5.6044528274934313e+00,4.9823214981800163e+01,4.4571424718548492e+01,-5.2517902632498199e+00,-1.8509638266550610e-12
5.5000001192092896e-01,6.5316356380444587e+00,5.2860025177517343e+01,4.6695868141830708e+01,-6.1641570356865287e+00,-1.0658141036401503e-13
6.0000002384185791e-01,7.4580002631199447e+00,5.4597439387395298e+01,4.7510201345090209e+01,-7.0872380423050192e+00,-6.9277916736609768e-14
6.4999997615814209e-01,8.3885288358788337e+00,5.6335200562329454e+01,4.8319426523211931e+01,-8.0157740391174208e+00,-1.0302869668521453e-13
6.9999998807907104e-01,9.3249784024594682e+00,5.8073315326306428e+01,4.9123328161936399e+01,-8.9499871643700057e+00,-2.3092638912203256e-14
7.5000000000000000e-01,1.0268108057016329e+01,5.9811790106005773e+01,4.9921202173467350e+01,-9.8905879325380361e+00,-3.8724579098925460e-13
8.0000001192092896e-01,1.1220180811160951e+01,6.1550630975898642e+01,5.0711258321527723e+01,-1.0839372646282051e+01,-8.0888682418844837e-09
8.5000002384185791e-01,1.2128185485813663e+01,6.1122166348609156e+01,4.9362027181744430e+01,-1.1760139166864610e+01,-1.1546319456101628e-13
8.9999997615814209e-01,1.2947312187204451e+01,5.8525663857184838e+01,4.5916116563074389e+01,-1.2609547294111316e+01,8.6686213762732223e-13
9.4999998807907104e-01,1.3686635323174276e+01,5.5928452409737865e+01,4.2547866553995782e+01,-1.3380585855742751e+01,6.6791017161449417e-13
1.0000000000000000e+00,1.4350460011178335e+01,5.3330583087753489e+01,3.9255461795607523e+01,-1.4075121292147081e+01,1.1155520951433573e-12
