time,interface_heat_rate,generated,stored,dirichlet,balance
5.0000000745058060e-02,3.1354122487924609e-02,3.2479284386417087e+00,3.2261294330832091e+00,-2.1799005558732244e-02,2.3268192927972109e-13
1.0000000149011612e-01,1.6301388715756429e-01,9.7439425534159820e+00,9.6233787028724915e+00,-1.2056385054352566e-01,3.5152436517194019e-14
1.5000000596046448e-01,5.4310060764911783e-01,1.6240332710172179e+01,1.5823391543419090e+01,-4.1694116675321363e-01,1.2451151221171131e-13
2.0000000298023224e-01,1.1053337326234958e+00,2.2737291089950933e+01,2.1833960910383500e+01,-9.0333017956735573e-01,-7.7604589421298442e-14
2.5000000000000000e-01,1.7119323704890907e+00,2.8152179312101410e+01,2.6674051651912905e+01,-1.4781276601887132e+00,2.0783375020982930e-13
3.0000001192092896e-01,2.3784840536438780e+00,3.2484921794762393e+01,3.0366066355672633e+01,-2.1188554390894558e+00,-3.0420110874729289e-13
3.4999999403953552e-01,3.0977939820858644e+00,3.6818323025162030e+01,3.4002415509550872e+01,-2.8159075154861757e+00,-1.2498269086336222e-10
4.0000000596046448e-01,3.8701617410590243e+00,4.1152457689454430e+01,3.7585667500935941e+01,-3.5667901885183091e+00,-1.7985612998927536e-13
4.4999998807907104e-01,4.7064297110387319e+00,4.5487398119207064e+01,4.1108938399388180e+01,-4.3784597198190331e+00,1.4832579608992091e-13
5.0000000000000000e-01,5.6044528274934313e+00,4.9823214981800163e+01,4.4571424718548492e+01,-5.2517902632498199e+00,-1.8509638266550610e-12
5.5000001192092896e-01,6.5316356380444587e+00,5.2860025177517343e+01,4.6695868141830708e+01,-6.1641570356865287e+00,-1.0658141036401503e-13
6.0000002384185791e-01,7.4580015232940040e+00,5.4597439380079280e+01,4.7510200461613167e+01,-7.0872389184657782e+00,-3.3484326422694721e-13
6.4999997615814209e-01,8.3879940994848905e+00,5.6335200538975833e+01,4.8319798005054231e+01,-8.0154025339213462e+00,-2.5579538487363607e-13
6.9999998807907104e-01,9.3229968497446531e+00,5.8073315329967912e+01,4.9124829226295269e+01,-8.9484861036725096e+00,-1.3322676295501878e-13
7.5000000000000000e-01,1.0263767138817844e+01,5.9811790267148005e+01,4.9924708014551243e+01,-9.8870822525973363e+00,5.7376325912628090e-13
8.0000001192092896e-01,1.1212712621539705e+01,6.1550631520624698e+01,5.0717572397460060e+01,-1.0833059115058553e+01,-8.1060846923719510e-09
8.5000002384185791e-01,1.2116960198955017e+01,6.1122167552636824e+01,4.9371830448672092e+01,-1.1750337103964732e+01,0.0000000000000000e+00
8.9999997615814209e-01,1.2931884600023405e+01,5.8525665976133929e+01,4.5929923090158518e+01,-1.2595742885975978e+01,5.6665783176867990e-13
9.4999998807907104e-01,1.3666694453808619e+01,5.5928455713124492e+01,4.2566045095717946e+01,-1.3362410617407322e+01,7.7626793881790945e-13
1.0000000000000000e+00,1.4325808642188532e+01,5.3330587821649168e+01,3.9278258348461094e+01,-1.4052329473188642e+01,5.6843418860808015e-13
