time,maximum_native_temperature_K,before_maximum_table_relative_error_percent,after_maximum_table_relative_error_percent
0.05,600.1899379932062,6.336739133416813e-07,6.336739133416813e-07
0.1,600.759661291523,6.336739133416813e-07,6.336739133416813e-07
0.15000000000000002,601.7092674198301,6.336739133416813e-07,6.336739133416813e-07
0.2,603.0387613364854,6.336738689327603e-07,6.336738689327603e-07
0.25,604.6848502117302,6.336738689327603e-07,6.336738689327603e-07
0.30000000000000004,606.5841823312666,6.336737357059974e-07,6.336737357059974e-07
0.35000000000000003,608.7366079520976,6.336737357059974e-07,6.336737357059974e-07
0.4,611.1418018488773,6.336737135015369e-07,6.336737135015369e-07
0.45,613.7992095995062,6.33673358230169e-07,6.33673358230169e-07
0.5,616.7080481744673,6.33673447048011e-07,6.33673447048011e-07
0.55,619.7913182050856,6.336726032785123e-07,6.336726032785123e-07
0.6000000000000001,622.9715983493635,0.2096371416833387,6.336723590294469e-07
0.65,626.2472866104298,0.4380167748469166,6.336696278808063e-07
0.7000000000000001,629.6165373621799,0.6699587211007829,6.336732250034061e-07
0.75,633.0773951546632,0.9050854694941712,6.336732027989456e-07
0.8,636.6277830874595,1.1430125585247808,6.336656754868386e-07
0.8500000000000001,640.1387671793465,1.3750349884495083,6.336662750072719e-07
0.9,643.4813420180483,1.592916658944743,6.336739133416813e-07
0.9500000000000001,646.6532969925593,1.7969642255242224,6.336722480071444e-07
1.0,649.6522827346037,1.9874589717600255,6.336682956131767e-07
