scope,field,samples,relative_l2_percent,relative_absolute_peak_percent,maximum_pointwise_relative_percent,maximum_absolute_difference,worst_relative_sample,worst_relative_reference_norm,worst_relative_absolute_difference,worst_absolute_sample,zero_reference_samples,maximum_zero_reference_absolute_difference,zero_absolute_tolerance,strict_0_1_percent_passed
all_frames,cladding_plastic_strain,81920,0.0004011164613595941,0.0017085921254749946,0.010118078313058531,7.003164959749685e-08,t=0.300000011921 element=728 point=5,0.0006921437789932209,7.003164959749685e-08,t=0.300000011921 element=728 point=5,0,0.0,1e-12,1
final,cladding_plastic_strain,4096,0.00017484576049630286,0.0005974723602666897,0.0008873874828888367,2.4489153587052848e-08,t=1 element=728 point=5,0.0027596911224541817,2.4489153587052848e-08,t=1 element=728 point=5,0,0.0,1e-12,1
all_frames,fuel_creep_strain,102400,nan,nan,nan,0.0,t=0.0500000007451 element=1 point=1,0.0,0.0,t=0.0500000007451 element=1 point=1,102400,0.0,1e-12,1
final,fuel_creep_strain,5120,nan,nan,nan,0.0,t=1 element=1 point=1,0.0,0.0,t=1 element=1 point=1,5120,0.0,1e-12,1
all_frames,cladding_creep_strain,81920,0.0005617457239951059,0.0006515820285015392,0.019131694213848586,6.045925205937026e-10,t=0.25 element=724 point=5,6.44376832145223e-08,1.2328020511090846e-11,t=1 element=829 point=2,0,0.0,1e-12,1
final,cladding_creep_strain,4096,0.0005058433595185175,0.0006515820285015392,0.0030610284295790576,6.045925205937026e-10,t=1 element=697 point=2,3.052897937066202e-06,9.3450073779629e-11,t=1 element=829 point=2,0,0.0,1e-12,1
all_frames,cladding_equiv_plastic,81920,0.00027666251600604855,3.226872804335013e-05,0.007793390153056827,3.352773122555861e-08,t=0.25 element=727 point=5,0.00043020727266436054,3.352773122555861e-08,t=0.25 element=727 point=5,0,0.0,1e-12,1
final,cladding_equiv_plastic,4096,0.00013523067818037898,3.226872804335013e-05,0.0007548606352163946,9.977860320744755e-09,t=1 element=691 point=2,0.0011529197762325438,8.702937546404416e-09,t=1 element=699 point=6,0,0.0,1e-12,1
all_frames,cladding_equiv_creep,81920,0.0005391023420481243,2.7409472614483914e-06,0.016818050001500443,4.881019055055042e-10,t=0.25 element=727 point=5,5.44266169863406e-08,9.153495658887896e-12,t=1 element=823 point=2,0,0.0,1e-12,1
final,cladding_equiv_creep,4096,0.00049220640597676,2.7409472614483914e-06,0.0030803213112131555,4.881019055055042e-10,t=1 element=691 point=2,2.641292593894207e-06,8.136029866121801e-11,t=1 element=823 point=2,0,0.0,1e-12,1
