time,node,r,z,temperature,ur,uz,rf_r,rf_z,reaction_heat
0.10000000149011612,1,0.004,0.0,626.6666666666667,3.3333333333333335e-05,3.49065850398863e-35,2201.7999794389975,-34.906585039886544,53.37695704310926
0.10000000149011612,2,0.005,0.0,606.6666666666667,1.6666666666666667e-05,3.759170696603156e-35,-2148.097540916095,-37.59170696603171,-27.755523623832396
0.10000000149011612,3,0.005,0.01,606.6666666666667,1.6666666666666667e-05,6.666666666666667e-05,-2148.097540916096,37.59170696603171,-27.755523623832406
0.10000000149011612,4,0.004,0.01,626.6666666666667,3.3333333333333335e-05,6.666666666666667e-05,2201.7999794389984,34.90658503988653,53.376957043109265
0.20000000298023224,1,0.004,0.0,653.3333333333334,6.666666666666667e-05,0.0,4403.599958877995,-69.81317007977309,97.66450795339992
0.20000000298023224,2,0.005,0.0,613.3333333333334,3.3333333333333335e-05,0.0,-4296.19508183219,-75.18341393206342,-69.45998724117165
0.20000000298023224,3,0.005,0.01,613.3333333333334,3.3333333333333335e-05,0.00013333333333333334,-4296.195081832192,75.18341393206342,-69.45998724117166
0.20000000298023224,4,0.004,0.01,653.3333333333334,6.666666666666667e-05,0.00013333333333333334,4403.599958877997,69.81317007977306,97.66450795339995
0.30000001192092896,1,0.004,0.0,679.9999999999999,0.0001,1.9778458854682248e-49,6605.399938316986,-104.71975511965972,151.0140769516126
0.30000001192092896,2,0.005,0.0,620.0,5.0000000000000036e-05,2.1382117680737565e-49,-6444.2926227482785,-112.77512089809537,-120.22646894643285
0.30000001192092896,3,0.005,0.01,620.0,5.0000000000000036e-05,0.00019999999999999996,-6444.292622748281,112.77512089809531,-120.22646894643299
0.30000001192092896,4,0.004,0.01,679.9999999999999,0.0001,0.00019999999999999996,6605.399938316988,104.71975511965977,151.01407695161274
0.4000000059604645,1,0.004,0.0,686.6666666666667,0.00011666666666666667,2.4725497736586356e-34,-2291.304043643838,-386.8813175254095,137.76121016480312
0.4000000059604645,2,0.005,0.0,626.6666666666667,0.00011666666666666668,2.662745910093905e-34,3568.9745601678915,-416.64141887351775,-125.718438326042
0.4000000059604645,3,0.005,0.01,626.6666666666667,0.00011666666666666668,9.999999999999994e-05,3568.974560167891,416.64141887351786,-125.71843832604202
0.4000000059604645,4,0.004,0.01,686.6666666666667,0.00011666666666666667,9.999999999999994e-05,-2291.304043643838,386.8813175254093,137.76121016480312
0.5,1,0.004,0.0,693.3333333333334,0.00013333333333333334,1.282927060844254e-49,-11188.008025604664,-669.0428799311591,143.56733880977063
0.5,2,0.005,0.0,633.3333333333334,0.00018333333333333334,-4.276423536147513e-50,13582.241743084061,-720.5077168489404,-131.21040770565088
0.5,3,0.005,0.01,633.3333333333334,0.00018333333333333334,-2.710505431213761e-20,13582.241743084061,720.5077168489402,-131.21040770565088
0.5,4,0.004,0.01,693.3333333333334,0.00013333333333333334,-2.710505431213761e-20,-11188.00802560466,669.0428799311592,143.56733880977066
0.6000000238418579,1,0.004,0.0,700.0,0.00015,2.565854121688508e-49,-20084.712007565493,-951.204442336909,149.3734674547384
0.6000000238418579,2,0.005,0.0,640.0,0.00025,3.4211388289180104e-49,23595.50892600024,-1024.374014824363,-136.70237708525966
0.6000000238418579,3,0.005,0.01,640.0,0.00025,-0.0001,23595.50892600024,1024.374014824363,-136.7023770852597
0.6000000238418579,4,0.004,0.01,700.0,0.00015,-0.0001,-20084.712007565497,951.204442336909,149.37346745473846
0.699999988079071,1,0.004,0.0,700.0,0.00015,-2.821615624057502e-34,-20084.712007565493,-951.204442336909,142.56668337196055
0.699999988079071,2,0.005,0.0,640.0,0.00025,-3.0386629797542283e-34,23595.50892600024,-1024.374014824363,-142.56668337196055
0.699999988079071,3,0.005,0.01,640.0,0.00025,-0.0001,23595.50892600024,1024.374014824363,-142.56668337196064
0.699999988079071,4,0.004,0.01,700.0,0.00015,-0.0001,-20084.712007565497,951.204442336909,142.56668337196064
0.800000011920929,1,0.004,0.0,700.0,0.00015,0.0,-20084.712007565493,-951.204442336909,142.22634416782165
0.800000011920929,2,0.005,0.0,640.0,0.00025,8.552847072295026e-50,23595.50892600024,-1024.374014824363,-142.93320251487935
0.800000011920929,3,0.005,0.01,640.0,0.00025,-0.0001,23595.50892600024,1024.374014824363,-142.93320251487944
0.800000011920929,4,0.004,0.01,700.0,0.00015,-0.0001,-20084.712007565497,951.204442336909,142.22634416782174
0.8999999761581421,1,0.004,0.0,700.0,0.00015,4.276423536147513e-50,-20084.712007565493,-951.204442336909,141.88600496368278
0.8999999761581421,2,0.005,0.0,640.0,0.00025,-4.276423536147513e-50,23595.50892600024,-1024.374014824363,-143.29972165779816
0.8999999761581421,3,0.005,0.01,640.0,0.00025,-0.0001,23595.50892600024,1024.374014824363,-143.29972165779824
0.8999999761581421,4,0.004,0.01,700.0,0.00015,-0.0001,-20084.712007565497,951.204442336909,141.88600496368286
1.0,1,0.004,0.0,700.0,0.00015,0.0,-20084.712007565493,-951.204442336909,141.88600496368278
1.0,2,0.005,0.0,640.0,0.00025,0.0,23595.50892600024,-1024.374014824363,-143.29972165779816
1.0,3,0.005,0.01,640.0,0.00025,-0.0001,23595.50892600024,1024.374014824363,-143.29972165779824
1.0,4,0.004,0.01,700.0,0.00015,-0.0001,-20084.712007565497,951.204442336909,141.88600496368286
