time,field,node,component,value
0.20000000298023224,CNORMF   SECONDARY_ONE/PRIMARY_ONE,2,0,0.0
0.20000000298023224,CNORMF   SECONDARY_ONE/PRIMARY_ONE,2,1,0.0
0.20000000298023224,CNORMF   SECONDARY_ONE/PRIMARY_ONE,3,0,0.0
0.20000000298023224,CNORMF   SECONDARY_ONE/PRIMARY_ONE,3,1,0.0
0.20000000298023224,CNORMF   SECONDARY_ONE/PRIMARY_ONE,5,0,0.0
0.20000000298023224,CNORMF   SECONDARY_ONE/PRIMARY_ONE,5,1,0.0
0.20000000298023224,CNORMF   SECONDARY_ONE/PRIMARY_ONE,8,0,0.0
0.20000000298023224,CNORMF   SECONDARY_ONE/PRIMARY_ONE,8,1,0.0
0.20000000298023224,CNORMF   SECONDARY_TWO/PRIMARY_TWO,10,0,0.0
0.20000000298023224,CNORMF   SECONDARY_TWO/PRIMARY_TWO,10,1,0.0
0.20000000298023224,CNORMF   SECONDARY_TWO/PRIMARY_TWO,11,0,0.0
0.20000000298023224,CNORMF   SECONDARY_TWO/PRIMARY_TWO,11,1,0.0
0.20000000298023224,CNORMF   SECONDARY_TWO/PRIMARY_TWO,13,0,0.0
0.20000000298023224,CNORMF   SECONDARY_TWO/PRIMARY_TWO,13,1,0.0
0.20000000298023224,CNORMF   SECONDARY_TWO/PRIMARY_TWO,16,0,0.0
0.20000000298023224,CNORMF   SECONDARY_TWO/PRIMARY_TWO,16,1,0.0
0.20000000298023224,COPEN    SECONDARY_ONE/PRIMARY_ONE,2,0,5.999999999999591e-06
0.20000000298023224,COPEN    SECONDARY_ONE/PRIMARY_ONE,3,0,5.999999999999592e-06
0.20000000298023224,COPEN    SECONDARY_TWO/PRIMARY_TWO,10,0,6.199999999999592e-06
0.20000000298023224,COPEN    SECONDARY_TWO/PRIMARY_TWO,11,0,6.200000000000459e-06
0.20000000298023224,CPRESS   SECONDARY_ONE/PRIMARY_ONE,2,0,0.0
0.20000000298023224,CPRESS   SECONDARY_ONE/PRIMARY_ONE,3,0,0.0
0.20000000298023224,CPRESS   SECONDARY_ONE/PRIMARY_ONE,5,0,0.0
0.20000000298023224,CPRESS   SECONDARY_ONE/PRIMARY_ONE,8,0,0.0
0.20000000298023224,CPRESS   SECONDARY_TWO/PRIMARY_TWO,10,0,0.0
0.20000000298023224,CPRESS   SECONDARY_TWO/PRIMARY_TWO,11,0,0.0
0.20000000298023224,CPRESS   SECONDARY_TWO/PRIMARY_TWO,13,0,0.0
0.20000000298023224,CPRESS   SECONDARY_TWO/PRIMARY_TWO,16,0,0.0
0.20000000298023224,CSHEAR1  SECONDARY_ONE/PRIMARY_ONE,2,0,0.0
0.20000000298023224,CSHEAR1  SECONDARY_ONE/PRIMARY_ONE,3,0,0.0
0.20000000298023224,CSHEAR1  SECONDARY_ONE/PRIMARY_ONE,5,0,0.0
0.20000000298023224,CSHEAR1  SECONDARY_ONE/PRIMARY_ONE,8,0,0.0
0.20000000298023224,CSHEAR1  SECONDARY_TWO/PRIMARY_TWO,10,0,0.0
