repeat,model,cpu,executable_sha256,reference_sha256,global_system_size,local_system_size,accuracy_status,failed_metrics,elapsed_seconds,peak_rss_kib,case,modes,modal_dofs,local_dofs,section_basis_size,solid_displacement_dofs,displacement_L2,axial_stress_L2,stress_tensor_L2,bending_moment_L2,bending_moment_absolute,axial_force_absolute,energy_relative,modal_energy,solid_energy,modal_root_displacement,solid_root_displacement
1,width2,0,175e4538e52bf8bd9df590c2780dca7ea905bf022ba0da42b698523e59e63306,77c26ba2ab80861782fd89d8fbe0137d41c737bdbb23a751c061d8672d29de38,8328,0,FAIL,displacement_L2;axial_stress_L2;stress_tensor_L2;energy_relative;zero_bending_moment_absolute,1.93,153404.0,axial_width2,38,8322,0,38,510315,0.9790540564814704,0.4285836797095571,0.5425831001259622,,7.60835280902886e-09,0.22990200861106302,0.25890290974121954,6.721890002421444e-05,9.070188091109973e-05,1.299985617211817e-06,5.0720387199297206e-06
1,width4,0,175e4538e52bf8bd9df590c2780dca7ea905bf022ba0da42b698523e59e63306,77c26ba2ab80861782fd89d8fbe0137d41c737bdbb23a751c061d8672d29de38,14022,0,FAIL,displacement_L2;axial_stress_L2;stress_tensor_L2;energy_relative;zero_bending_moment_absolute,2.38,213356.0,axial_width4,64,14016,0,64,510315,0.9676402771813009,0.420404683809149,0.532067936068478,,7.616958973441432e-09,0.22990388622220337,0.24885018660768476,6.813070092070456e-05,9.070188091109973e-05,1.4774750541580995e-06,5.0720387199297206e-06
1,width2,0,175e4538e52bf8bd9df590c2780dca7ea905bf022ba0da42b698523e59e63306,2323a50346ba6ed0d35ccc8ab1e7912d993145e629e296ece4494c0f4f347db8,8328,0,FAIL,displacement_L2;axial_stress_L2;stress_tensor_L2;energy_relative,1.96,153476.0,bending_width2,38,8322,0,38,510315,0.5197266124984309,0.49728426942202025,0.6050720603675367,0.001948959953441541,1.408757566624471e-05,0.014994187267323595,0.32239440315981005,4.748832139341534e-09,7.008254007178048e-09,9.75642044074637e-09,4.18586756972088e-08
1,width4,0,175e4538e52bf8bd9df590c2780dca7ea905bf022ba0da42b698523e59e63306,2323a50346ba6ed0d35ccc8ab1e7912d993145e629e296ece4494c0f4f347db8,14022,0,FAIL,displacement_L2;axial_stress_L2;stress_tensor_L2;energy_relative,2.49,212980.0,bending_width4,64,14016,0,64,510315,0.4891688651518351,0.4823517540243609,0.5879674786438696,0.0019489722826767125,1.4087660596666455e-05,0.014994203451081841,0.30338006781738425,4.882089431198917e-09,7.008254007178048e-09,1.0109654645676066e-08,4.18586756972088e-08
1,width2,0,175e4538e52bf8bd9df590c2780dca7ea905bf022ba0da42b698523e59e63306,82da0604b54fcd77fe6e24b5511f96d8f6cf815c33abb5c515ec65992c87cc0c,8328,0,FAIL,displacement_L2;axial_stress_L2;stress_tensor_L2;energy_relative,2.39,153408.0,transverse_width2,38,8322,0,38,510315,0.619632239835742,0.750217966949339,0.8262602059929007,0.00434796787978112,0.0002812617980746694,0.2998837086758204,0.6326049958628492,5.24103697239266e-07,1.426540076314198e-06,1.8646422167399272e-07,8.358226840033401e-07
1,width4,0,175e4538e52bf8bd9df590c2780dca7ea905bf022ba0da42b698523e59e63306,82da0604b54fcd77fe6e24b5511f96d8f6cf815c33abb5c515ec65992c87cc0c,14022,0,FAIL,displacement_L2;axial_stress_L2;stress_tensor_L2;energy_relative,3.16,212780.0,transverse_width4,64,14016,0,64,510315,0.5833634858012139,0.7277408187529611,0.8031537675414269,0.004347995167556187,0.0002812634791408081,0.29988403235100547,0.5956101459547434,5.768783332504077e-07,1.426540076314198e-06,1.9286180469791372e-07,8.358226840033401e-07
1,support,0,175e4538e52bf8bd9df590c2780dca7ea905bf022ba0da42b698523e59e63306,ffcd38a91409bc45079f989830bcb22b63a454a1061407846b2db0064ffad710,2634,0,FAIL,displacement_L2;axial_stress_L2;stress_tensor_L2;energy_relative,1.71,115652.0,nonuniform_support,12,2628,0,12,510315,0.7300544463925607,0.8125647146068484,0.8785054524314327,0.004347971437305012,0.00028126167576658385,0.2998754037473243,0.7452155411592359,3.644311244934701e-07,1.4303506821082575e-06,1.0701816780816602e-07,8.346349378815868e-07
1,width1,0,175e4538e52bf8bd9df590c2780dca7ea905bf022ba0da42b698523e59e63306,ffcd38a91409bc45079f989830bcb22b63a454a1061407846b2db0064ffad710,5481,0,FAIL,displacement_L2;axial_stress_L2;stress_tensor_L2;energy_relative,2.04,127096.0,nonuniform_width1,25,5475,0,25,510315,0.7144687383764088,0.8026490018502047,0.8696588615592472,0.004347969604423517,0.00028126156391104426,0.29988367847305997,0.729318898321538,3.8716889841960283e-07,1.4303506821082575e-06,1.2625131642277603e-07,8.346349378815868e-07
1,width2,0,175e4538e52bf8bd9df590c2780dca7ea905bf022ba0da42b698523e59e63306,ffcd38a91409bc45079f989830bcb22b63a454a1061407846b2db0064ffad710,8328,0,FAIL,displacement_L2;axial_stress_L2;stress_tensor_L2;energy_relative,2.37,153656.0,nonuniform_width2,38,8322,0,38,510315,0.6196347853685161,0.7502521022365506,0.8263796333932716,0.004347973414297079,0.0002812617963388027,0.2998837085546311,0.6328697862383045,5.251249516765915e-07,1.4303506821082575e-06,1.9139884305042985e-07,8.346349378815868e-07
1,width4,0,175e4538e52bf8bd9df590c2780dca7ea905bf022ba0da42b698523e59e63306,ffcd38a91409bc45079f989830bcb22b63a454a1061407846b2db0064ffad710,14022,0,FAIL,displacement_L2;axial_stress_L2;stress_tensor_L2;energy_relative,3.15,213356.0,nonuniform_width4,64,14016,0,64,510315,0.5833663406281038,0.7277792706958189,0.8032910381382611,0.004348000702304053,0.00028126347740505594,0.2998840322298292,0.5959123208830123,5.779870874565261e-07,1.4303506821082575e-06,2.0650997183599374e-07,8.346349378815868e-07
2,width4,0,175e4538e52bf8bd9df590c2780dca7ea905bf022ba0da42b698523e59e63306,ffcd38a91409bc45079f989830bcb22b63a454a1061407846b2db0064ffad710,14022,0,FAIL,displacement_L2;axial_stress_L2;stress_tensor_L2;energy_relative,3.25,213156.0,nonuniform_width4,64,14016,0,64,510315,0.5833663406281038,0.7277792706958189,0.8032910381382611,0.004348000702304053,0.00028126347740505594,0.2998840322298292,0.5959123208830123,5.779870874565261e-07,1.4303506821082575e-06,2.0650997183599374e-07,8.346349378815868e-07
2,width2,0,175e4538e52bf8bd9df590c2780dca7ea905bf022ba0da42b698523e59e63306,ffcd38a91409bc45079f989830bcb22b63a454a1061407846b2db0064ffad710,8328,0,FAIL,displacement_L2;axial_stress_L2;stress_tensor_L2;energy_relative,2.39,153596.0,nonuniform_width2,38,8322,0,38,510315,0.6196347853685161,0.7502521022365506,0.8263796333932716,0.004347973414297079,0.0002812617963388027,0.2998837085546311,0.6328697862383045,5.251249516765915e-07,1.4303506821082575e-06,1.9139884305042985e-07,8.346349378815868e-07
